Customer_ID,Loan_ID,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Savings_Account_Balance,Loan_Type,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Pct,EMI_Amount,Pay_History,Delinquency_12M,Credit_Card_Utilization,Behavior_Spending_Score,Behavior_Repayment_Score,No_of_Open_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Oldest_Trade_Open_Months,Outstanding_Loans,Avg_Balance_6M,Bounce_Count_6M,Transaction_Count_3M,Max_DPD_12M,Missed_Payment_Count,Collateral_Value,LTV_Ratio,NPA_Flag,Default,Default_Date,Disbursal_Date,Loan_Status,Avg_Balance_3M,Salary_Credit_Frequency,Avg_Monthly_Salary_Credit,Monthly_Spend,Cash_Withdrawal_3M,Merchant_Spend_Pct,Negative_Balance_Days,UPI_Txn_Count_3M,ECS_Mandate_Count,Paid_On_Time_Pct,Late_Payment_Count_12M,Max_DPD_3M,Max_DPD_6M,Current_DPD_Bucket,Prev_DPD_Bucket,Prepayment_Count,Total_EMI_Paid,Collateral_Type,Property_Type,Vehicle_Age_Years,Collateral_Location_Tier,Collateral_Insurance,No_of_Closed_Accounts,No_of_Inquiries_12M,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Newest_Trade_Open_Months
15,LOAN00015,61,2451700,0,Single,High School,13,470167,Home Loan,1722705,72,9.29,31301,Good,0,0.41,88,92,13,1898189,761035,0.4,0,1,0,0,0,71,0,282854,0,94,0,0,1914196.270028488,0.9,0,0,,2021-12-12,Active,320838,Monthly,193449,115584,9269,0.4951,2,73,8,0.8358,0,0,0,Current,Current,3,3,Property,Residential,,Tier-1,Yes,0,4,49,1840550,13
16,LOAN00016,53,940394,7,Married,Postgraduate,17,327882,Home Loan,1429524,84,21.41,32969,Average,1,0.31,33,73,5,1181476,779076,0.66,2,0,0,0,0,136,3,417859,1,137,0,0,1965635.724158469,0.73,0,0,,2020-07-28,Active,342670,Monthly,230218,137201,27605,0.7739,4,56,6,0.8723,1,0,0,Current,Current,1,6,Property,Commercial,,Tier-2,Yes,8,5,50,783057,42
17,LOAN00017,29,1344729,7,Married,High School,13,257609,Business Loan,374712,12,15.84,33969,Good,1,0.38,32,96,13,720851,388663,0.54,2,1,0,0,0,92,3,152389,0,166,0,0,381622.6003546983,0.98,0,0,,2020-12-22,Active,163364,Monthly,88592,69095,64931,0.5434,2,3,0,0.8264,1,0,0,Current,Current,1,36,Property,Commercial,,Tier-3,Yes,4,3,22,405040,34
18,LOAN00018,63,558485,7,Single,Graduate,24,123715,Business Loan,1209739,84,21.52,27981,Poor,6,0.74,28,23,10,744444,528429,0.71,2,4,2,2,2,284,5,43006,8,196,120,6,1338939.522951627,0.9,1,1,2022-05-03,2020-03-04,Default,36960,Monthly,124244,101754,38270,0.6383,12,33,6,0.1515,10,120,120,90+ DPD,90+ DPD,4,58,Property,Commercial,,Tier-3,Yes,5,4,12,881723,17
19,LOAN00019,44,588026,13,Married,Postgraduate,15,573509,Personal Loan,1763332,60,20.13,46845,Good,0,0.18,15,73,0,982819,796763,0.81,2,0,0,0,0,208,4,274243,0,78,0,0,,,0,0,,2021-07-15,Active,297981,Bi-Monthly,130266,114222,14777,0.7347,3,27,2,0.9778,1,0,0,Current,Current,1,32,,,,,,8,5,55,707853,41
20,LOAN00020,45,756470,26,Married,High School,12,462584,Business Loan,1357995,36,16.32,47957,Good,0,0.54,70,86,3,908288,462633,0.51,2,0,0,0,0,273,0,53614,1,40,0,0,1961738.255227176,0.69,0,0,,2020-05-27,Active,46337,Irregular,79955,72354,62441,0.5296,4,72,5,0.9433,0,0,0,Current,Current,1,40,Property,Commercial,,Tier-3,Yes,8,2,28,595542,23
21,LOAN00021,51,413787,0,Single,Graduate,1,707922,Auto Loan,536489,36,14.6,18492,Good,1,0.54,96,75,9,2276151,1128022,0.5,1,1,0,0,0,105,5,443562,0,154,0,0,544010.7872613572,0.99,0,0,,2020-04-26,Active,358742,Monthly,49294,44057,85607,0.5847,0,42,7,0.9704,1,0,0,Current,Current,2,18,Vehicle,,9.0,Tier-1,Yes,8,1,34,1709672,10
22,LOAN00022,54,1897186,24,Divorced,Graduate,13,96362,Personal Loan,344784,48,14.72,9546,Average,0,0.21,65,89,10,1596797,1363944,0.85,0,1,0,0,0,285,4,55537,1,23,0,0,,,0,0,,2020-11-24,Active,47882,Monthly,231838,187069,59046,0.5118,0,18,1,0.9748,0,0,0,Current,Current,3,13,,,,,,1,2,44,975479,41
23,LOAN00023,62,2379916,18,Married,Graduate,4,524126,Home Loan,959765,24,10.32,44430,Good,0,0.17,15,99,1,1262019,1068838,0.85,3,1,0,0,0,88,3,164593,1,135,0,0,1017263.078283903,0.94,0,0,,2021-05-10,Active,172871,Monthly,180606,164653,31092,0.337,2,45,6,0.9179,0,0,0,Current,Current,2,15,Property,Residential,,Tier-2,Yes,7,7,33,662607,27
24,LOAN00024,46,2467781,18,Married,High School,18,141869,Business Loan,997168,84,14.35,18880,Average,0,0.16,42,90,10,2189523,1965310,0.9,0,0,0,0,0,96,5,139697,1,69,0,0,1111866.192405625,0.9,0,0,,2022-08-02,Active,166838,Bi-Monthly,176200,109947,80665,0.2742,0,59,5,0.8608,0,0,0,Current,Current,2,56,Property,Commercial,,Tier-2,Yes,9,4,52,1562812,40
25,LOAN00025,47,884780,20,Divorced,High School,4,201770,Home Loan,770195,12,19.5,71162,Good,1,0.29,91,61,12,2210867,497844,0.23,3,0,0,0,0,93,2,64157,1,83,0,0,926297.823039969,0.83,0,0,,2022-04-09,Active,76221,Irregular,93065,76906,34384,0.5435,4,46,2,0.8985,0,0,0,Current,Current,3,46,Property,Residential,,Tier-1,No,0,5,29,1628312,34
26,LOAN00026,53,2035241,3,Divorced,Graduate,22,164421,Auto Loan,307600,12,21.84,28765,Average,0,0.16,14,58,1,2808005,288817,0.1,2,0,0,0,0,179,1,305544,1,42,0,0,322745.9112593145,0.95,0,0,,2021-02-04,Active,335571,Monthly,171906,91883,1519,0.7868,3,33,7,0.8038,1,0,0,Current,Current,4,22,Vehicle,,0.0,Tier-1,No,8,5,35,2998138,6
27,LOAN00027,32,1408940,22,Single,Graduate,7,444405,Auto Loan,324439,24,21.44,16741,Good,1,0.37,65,91,13,962877,433148,0.45,2,0,0,0,0,186,0,614320,1,20,0,0,458998.2573001389,0.71,0,0,,2021-08-08,Active,694078,Monthly,51101,28430,66012,0.7413,3,57,7,0.9635,1,0,0,Current,Current,3,4,Vehicle,,6.0,Tier-2,Yes,8,4,36,775063,3
28,LOAN00028,34,691051,7,Married,Graduate,10,10628,Auto Loan,1105072,24,21.47,57040,Poor,6,0.99,49,20,7,767821,527241,0.69,8,4,3,1,3,25,4,38150,4,54,90,6,1150889.477080138,0.96,1,1,2022-01-19,2022-02-09,Default,43856,Monthly,47159,28378,71865,0.2469,19,24,0,0.211,6,60,60,90+ DPD,61-90 DPD,2,51,Vehicle,,4.0,Tier-1,Yes,8,12,6,779896,6
29,LOAN00029,48,499543,15,Married,High School,3,609631,Home Loan,1894188,12,8.27,165009,Average,1,0.1,92,80,9,68638,10864,0.16,3,0,0,0,0,170,2,190277,0,97,0,0,2448560.881840362,0.77,0,0,,2021-01-17,Active,192435,Monthly,239574,130856,22016,0.6899,2,10,3,0.9017,1,0,0,Current,Current,3,17,Property,Residential,,Tier-2,Yes,3,5,28,69667,14
30,LOAN00030,23,1505130,20,Single,Graduate,5,363686,Home Loan,1236078,36,15.22,42982,Average,0,0.19,56,66,0,521523,208025,0.4,2,1,0,0,0,286,4,570677,1,72,0,0,1336984.902209026,0.92,0,0,,2022-02-06,Active,508724,Monthly,72596,67844,37695,0.1148,0,69,0,0.8755,1,0,0,Current,Current,3,15,Property,Commercial,,Tier-1,Yes,1,6,25,548795,14
31,LOAN00031,35,1232041,18,Single,Graduate,23,752703,Education Loan,932538,36,10.8,30441,Good,0,0.44,60,94,9,1830295,1034423,0.57,3,1,0,0,0,125,1,657363,1,90,0,0,,,0,0,,2021-10-25,Active,699722,Monthly,197013,139841,703,0.5126,3,57,6,0.8345,1,0,0,Current,Current,1,42,,,,,,7,4,29,2091947,55
32,LOAN00032,52,318439,9,Single,High School,7,311389,Home Loan,1869439,12,16.61,170155,Good,0,0.21,75,75,6,2437194,658134,0.27,3,1,0,0,0,211,5,231845,1,40,0,0,2301956.143632827,0.81,0,0,,2021-12-04,Active,198607,Irregular,83981,76256,46998,0.7512,2,58,8,0.8151,0,0,0,Current,Current,3,8,Property,Residential,,Tier-1,Yes,6,7,23,2069279,47
33,LOAN00033,63,2346232,11,Married,Graduate,12,142144,Personal Loan,1411629,72,21.24,34834,Good,0,0.29,83,68,5,1822703,1248394,0.68,0,0,0,0,0,191,5,61586,0,44,0,0,,,0,0,,2022-09-03,Active,69773,Monthly,170035,121487,44582,0.7715,1,71,9,0.865,0,0,0,Current,Current,3,13,,,,,,7,3,21,1043984,52
34,LOAN00034,43,1906741,14,Married,Graduate,24,48481,Home Loan,1464040,84,20.27,32749,Average,1,0.38,56,71,11,2975633,843979,0.28,3,0,0,0,0,294,1,539558,0,154,0,0,1497136.890417352,0.98,0,0,,2021-01-11,Active,520585,Monthly,160774,131007,25812,0.5221,2,57,3,0.9875,1,0,0,Current,Current,1,30,Property,Commercial,,Tier-1,Yes,2,6,51,1568349,28
35,LOAN00035,38,1405308,1,Married,Graduate,15,119447,Auto Loan,1193008,72,20.13,28665,Good,0,0.44,74,68,3,1901286,1468814,0.77,2,0,0,0,0,194,2,466061,0,167,0,0,1231725.140266093,0.97,0,0,,2020-03-08,Active,422529,Monthly,186289,120113,52787,0.5416,2,2,2,0.8138,0,0,0,Current,Current,1,7,Vehicle,,1.0,Tier-3,Yes,1,2,28,1199400,20
36,LOAN00036,40,2471386,21,Single,Postgraduate,1,367192,Home Loan,1549483,48,13.12,41661,Average,1,0.2,82,67,0,2653663,1004726,0.38,0,1,0,0,0,144,4,698319,0,153,0,0,1781271.948712229,0.87,0,0,,2021-06-20,Active,794256,Monthly,239359,222077,67894,0.3729,4,67,3,0.9898,0,0,0,Current,Current,3,54,Property,Residential,,Tier-2,Yes,9,4,24,2867145,24
37,LOAN00037,51,2436497,2,Single,Graduate,8,342095,Auto Loan,1053260,84,15.02,20336,Good,1,0.42,57,69,7,841147,486955,0.58,2,0,0,0,0,9,1,475712,1,191,0,0,1465524.094276588,0.72,0,0,,2020-11-26,Active,401727,Bi-Monthly,117863,60782,44589,0.6065,0,2,0,0.9057,0,0,0,Current,Current,0,58,Vehicle,,6.0,Tier-3,Yes,5,2,50,758752,52
38,LOAN00038,44,2442693,13,Married,Graduate,9,686297,Personal Loan,1281925,36,11.95,42547,Average,0,0.19,74,85,11,1005551,538294,0.54,2,1,0,0,0,242,0,652974,1,151,0,0,,,0,0,,2020-02-28,Active,776993,Irregular,219160,178359,79567,0.272,0,55,3,0.8882,1,0,0,Current,Current,1,50,,,,,,8,6,49,601402,21
39,LOAN00039,22,460180,19,Married,High School,6,181236,Auto Loan,1271497,36,15.75,44545,Poor,2,0.66,42,61,2,2442659,823560,0.34,5,0,0,0,2,105,3,24833,2,41,90,0,1313683.559838936,0.97,1,0,,2020-06-04,NPA,29307,Monthly,88616,82206,45799,0.1237,20,79,6,0.5614,1,0,90,61-90 DPD,Current,3,34,Vehicle,,6.0,Tier-1,Yes,9,5,6,1448119,38
40,LOAN00040,44,2237960,2,Divorced,High School,6,224616,Business Loan,1530035,12,12.25,136120,Good,1,0.28,41,71,14,1999720,902388,0.45,1,0,0,0,0,277,3,140460,0,152,0,0,1661410.527904592,0.92,0,0,,2021-06-17,Active,146572,Monthly,241659,206537,40930,0.6847,3,32,0,0.8143,1,0,0,Current,Current,2,33,Property,Residential,,Tier-2,Yes,4,5,26,2247789,9
41,LOAN00041,38,1409999,29,Divorced,High School,12,784734,Home Loan,1806850,60,19.32,47189,Good,1,0.51,10,62,10,1488027,1155867,0.78,3,0,0,0,0,77,0,475705,0,61,0,0,2113192.762158481,0.86,0,0,,2022-08-14,Active,516069,Bi-Monthly,134996,117772,66573,0.1423,0,24,7,0.9089,1,0,0,Current,Current,0,16,Property,Commercial,,Tier-3,Yes,2,6,51,1285686,58
42,LOAN00042,51,1897280,11,Divorced,Postgraduate,9,42280,Auto Loan,659105,12,14.5,59334,Good,1,0.54,70,84,14,2869442,1545697,0.54,0,0,0,0,0,134,2,531086,1,159,0,0,873340.7277275466,0.75,0,0,,2020-12-04,Active,432760,Bi-Monthly,214145,135901,17131,0.5653,3,74,8,0.9197,0,0,0,Current,Current,0,9,Vehicle,,4.0,Tier-2,Yes,8,1,25,1779996,38
43,LOAN00043,59,2190967,0,Divorced,Postgraduate,7,350957,Auto Loan,1428693,60,17.81,36131,Good,1,0.44,32,99,7,2299044,332141,0.14,1,0,0,0,0,249,5,289717,0,133,0,0,1632399.065900815,0.88,0,0,,2021-06-29,Active,282425,Bi-Monthly,209809,147565,84568,0.4059,3,36,3,0.8868,0,0,0,Current,Current,0,10,Vehicle,,6.0,Tier-3,Yes,7,5,53,2592685,58
44,LOAN00044,63,659318,19,Divorced,High School,10,174624,Auto Loan,160147,72,20.22,3856,Good,1,0.51,83,90,1,921424,617746,0.67,3,1,0,0,0,50,0,318737,0,172,0,0,177912.1896911295,0.9,0,0,,2020-06-26,Active,367773,Monthly,165957,93148,60496,0.1303,3,73,7,0.8575,0,0,0,Current,Current,2,9,Vehicle,,9.0,Tier-1,Yes,6,4,41,925578,18
45,LOAN00045,47,1286155,16,Married,High School,8,436216,Home Loan,1111712,24,12.2,52436,Average,0,0.12,95,66,2,1852725,455699,0.25,0,0,0,0,0,86,0,285785,0,191,0,0,1438706.681310167,0.77,0,0,,2020-05-09,Active,229945,Monthly,241672,161771,36550,0.2119,2,24,4,0.8026,1,0,0,Current,Current,0,1,Property,Residential,,Tier-1,Yes,9,0,43,1545984,37
46,LOAN00046,36,583578,19,Single,Graduate,5,779449,Auto Loan,1807550,60,16.71,44640,Good,1,0.38,88,78,7,1218318,595575,0.49,1,1,0,0,0,238,2,62095,1,143,0,0,2423417.533699899,0.75,0,0,,2022-02-21,Active,56894,Monthly,175320,88325,23447,0.1705,2,14,9,0.8533,0,0,0,Current,Current,3,44,Vehicle,,4.0,Tier-3,Yes,2,1,37,1005777,17
47,LOAN00047,40,914872,22,Single,Graduate,11,197128,Home Loan,1325853,36,19.84,49165,Good,0,0.15,34,55,8,1277408,606553,0.47,1,0,0,0,0,99,0,617911,1,188,0,0,1649028.344516932,0.8,0,0,,2021-09-04,Active,581785,Monthly,159214,135402,79009,0.2501,4,44,5,0.943,1,0,0,Current,Current,3,45,Property,Residential,,Tier-2,No,3,5,13,1240179,28
48,LOAN00048,28,1209736,14,Single,Graduate,23,308886,Home Loan,608625,36,21.31,23026,Average,1,0.19,68,73,11,2424857,1186214,0.49,3,1,0,0,0,287,0,637892,0,117,0,0,812048.4838602076,0.75,0,0,,2020-07-08,Active,682564,Irregular,78224,72658,1391,0.5447,4,29,5,0.9212,1,0,0,Current,Current,2,44,Property,Commercial,,Tier-3,No,0,4,51,1786674,20
49,LOAN00049,62,2182045,24,Single,Graduate,12,370318,Home Loan,1252149,48,10.28,31926,Good,0,0.31,77,67,11,2054899,256474,0.12,3,0,0,0,0,164,1,668117,0,187,0,0,1254716.694117082,1.0,0,0,,2021-05-15,Active,722859,Monthly,106562,86888,6268,0.4994,0,56,8,0.8316,1,0,0,Current,Current,1,22,Property,Commercial,,Tier-1,No,3,7,38,2465749,9
50,LOAN00050,58,2197864,11,Single,Postgraduate,14,642824,Home Loan,779716,24,17.54,38753,Good,0,0.42,55,77,11,86366,27456,0.32,3,1,0,0,0,248,0,367942,1,36,0,0,907534.1977783571,0.86,0,0,,2021-08-03,Active,303947,Monthly,21416,18516,60768,0.4031,1,23,2,0.9587,1,0,0,Current,Current,0,7,Property,Residential,,Tier-1,Yes,4,3,20,90614,27
51,LOAN00051,58,1157756,16,Divorced,High School,24,788061,Personal Loan,922930,72,14.09,19062,Average,1,0.41,55,73,8,1746183,245493,0.14,1,1,0,0,0,166,4,143976,1,99,0,0,,,0,0,,2020-02-29,Active,127707,Monthly,185187,135383,48026,0.6901,1,60,6,0.8297,1,0,0,Current,Current,4,12,,,,,,4,1,51,1656554,32
52,LOAN00052,35,613401,4,Single,Graduate,15,185095,Auto Loan,533384,36,12.0,17715,Poor,5,0.96,49,39,0,1958707,846093,0.43,9,4,1,1,3,19,2,10357,3,157,90,2,706985.8753111712,0.75,1,1,2023-05-07,2020-10-27,Default,11705,Monthly,159570,93548,17183,0.6272,24,28,8,0.3776,5,60,60,90+ DPD,61-90 DPD,3,49,Vehicle,,8.0,Tier-3,Yes,1,13,4,1921916,10
53,LOAN00053,35,1467591,18,Divorced,Graduate,5,401175,Auto Loan,1287051,48,10.21,32772,Average,1,0.33,37,79,7,1556597,929396,0.6,0,1,0,0,0,244,3,488346,0,197,0,0,1412183.650080614,0.91,0,0,,2022-05-14,Active,428146,Irregular,180325,148653,37615,0.5779,3,28,2,0.9025,0,0,0,Current,Current,1,54,Vehicle,,1.0,Tier-2,Yes,8,0,29,1863649,24
54,LOAN00054,58,2306115,7,Married,Graduate,9,607027,Personal Loan,476843,72,16.2,10396,Average,1,0.51,61,97,12,934952,582717,0.62,3,0,0,0,0,129,4,146121,1,176,0,0,,,0,0,,2020-12-28,Active,133644,Monthly,164601,104468,78289,0.5192,1,56,8,0.9434,0,0,0,Current,Current,1,4,,,,,,4,6,42,474532,6
55,LOAN00055,44,2448359,20,Married,Postgraduate,12,26882,Personal Loan,942782,24,12.68,44679,Good,0,0.49,99,58,12,1963253,297704,0.15,1,0,0,0,0,120,3,133655,1,85,0,0,,,0,0,,2021-12-10,Active,115597,Monthly,76916,54363,46594,0.5873,0,20,2,0.8166,1,0,0,Current,Current,1,42,,,,,,4,2,25,1012993,39
56,LOAN00056,52,798881,24,Married,High School,11,648765,Auto Loan,1884574,48,17.35,54721,Good,0,0.47,29,97,12,2845652,555218,0.2,1,0,0,0,0,222,3,694921,0,133,0,0,2731237.406073905,0.69,0,0,,2021-08-28,Active,765612,Irregular,249988,226314,52812,0.2586,1,22,6,0.9482,0,0,0,Current,Current,1,53,Vehicle,,9.0,Tier-1,Yes,8,3,12,2986567,19
57,LOAN00057,42,710263,25,Single,Graduate,3,209171,Home Loan,1539467,84,11.93,27118,Good,1,0.16,14,90,0,303519,190975,0.63,2,1,0,0,0,88,2,53450,1,35,0,0,1767346.80662344,0.87,0,0,,2020-01-06,Active,43339,Monthly,120168,80250,9147,0.2819,2,43,3,0.9443,1,0,0,Current,Current,2,48,Property,Residential,,Tier-2,No,4,2,27,196247,6
58,LOAN00058,40,650854,27,Married,Graduate,2,142898,Auto Loan,887275,36,8.01,27808,Poor,1,0.79,15,37,6,1828556,959900,0.52,7,1,0,0,1,131,4,20032,3,40,60,2,1278562.007739766,0.69,1,0,,2022-08-05,NPA,18444,Monthly,180888,113998,72115,0.3087,18,26,6,0.4188,4,60,60,31-60 DPD,1-30 DPD,1,15,Vehicle,,5.0,Tier-1,Yes,8,8,6,1791283,31
59,LOAN00059,48,963081,3,Single,Postgraduate,8,783194,Home Loan,1940933,12,18.74,178628,Average,0,0.42,62,92,9,2735270,2097212,0.77,0,0,0,0,0,184,0,130185,1,146,0,0,2798472.16505804,0.69,0,0,,2022-08-17,Active,131867,Monthly,50823,26136,13882,0.6187,0,30,1,0.8275,0,0,0,Current,Current,3,39,Property,Residential,,Tier-3,Yes,2,3,32,2331375,50
60,LOAN00060,56,739477,4,Divorced,Graduate,22,515407,Business Loan,126501,24,10.26,5852,Good,1,0.54,34,57,3,1231482,325251,0.26,3,0,0,0,0,180,0,44684,1,76,0,0,159752.0783190097,0.79,0,0,,2021-10-30,Active,35854,Monthly,157260,128269,23348,0.4026,3,27,8,0.9497,0,0,0,Current,Current,0,49,Property,Commercial,,Tier-3,No,8,5,46,890446,59
61,LOAN00061,35,368353,27,Single,Graduate,17,791472,Personal Loan,1923744,84,11.54,33487,Good,0,0.06,51,64,6,1038492,203828,0.2,1,1,0,0,0,220,5,455219,0,120,0,0,,,0,0,,2020-06-08,Active,537884,Monthly,112524,67159,29347,0.7717,0,49,1,0.8832,0,0,0,Current,Current,3,55,,,,,,9,3,15,687417,58
62,LOAN00062,56,1187066,11,Single,Postgraduate,21,490705,Auto Loan,769051,72,11.29,14752,Good,0,0.21,95,55,1,780450,304078,0.39,1,0,0,0,0,30,0,153260,0,57,0,0,798532.1539826116,0.96,0,0,,2022-04-24,Active,175898,Monthly,233376,183839,43092,0.1281,1,26,3,0.9295,0,0,0,Current,Current,0,41,Vehicle,,0.0,Tier-1,No,7,5,24,814572,11
