Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Pct,EMI_Amount,Processing_Fee,Disbursal_Date,Loan_Status,Default,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Savings_Account_Balance,Checking_Account_Balance,No_of_Open_Accounts,No_of_Closed_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,No_of_Inquiries_12M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Oldest_Trade_Open_Months,Newest_Trade_Open_Months,Pay_History,Delinquency_12M,Credit_Card_Utilization,Behavior_Spending_Score,Behavior_Repayment_Score,Avg_Balance_6M,Avg_Balance_3M,Salary_Credit_Frequency,Avg_Monthly_Salary_Credit,Monthly_Spend,Cash_Withdrawal_3M,Merchant_Spend_Pct,Bounce_Count_6M,Negative_Balance_Days,Transaction_Count_3M,UPI_Txn_Count_3M,ECS_Mandate_Count,Pay_History_repay,Paid_On_Time_Pct,Late_Payment_Count_12M,Missed_Payment_Count,Max_DPD_3M,Max_DPD_6M,Max_DPD_12M,Current_DPD_Bucket,Prev_DPD_Bucket,Prepayment_Count,Total_EMI_Paid,Collateral_Type,Collateral_Value,LTV_Ratio,Property_Type,Vehicle_Age_Years,Collateral_Location_Tier,Collateral_Insurance
LOAN00025,25,Business Loan,1780895,12,11.42,157747,35558,2021-03-05,Closed,0,48,1859665,13,Single,Postgraduate,8,348017,20407,1,4,476602,851460,0.89,0,1,2,2,2,0,14,321398,206,28,Good,2,0.59,70,35,419730,419854,Monthly,157781,125028,2418,0.5955,3,2,103,3,0,Good,0.9884,2,2,60,60,60,61-90 DPD,31-60 DPD,0,18,Commercial Property,2373781.0,0.7502,,,Tier-3,Yes
LOAN00026,26,Personal Loan,129172,48,10.22,3289,771,2022-10-29,Closed,0,58,1922638,7,Married,High School,5,706002,360547,10,3,495645,547899,0.09,4,5,0,0,0,0,5,1220331,222,56,Poor,1,0.05,45,89,730282,736036,Monthly,145286,160148,209382,0.5275,1,1,137,26,1,Poor,0.5415,1,1,0,60,60,Current,31-60 DPD,3,48,,,,,,,
LOAN00027,27,Home Loan,1213104,48,11.9,31886,7287,2020-03-11,Active,0,57,1292563,17,Married,High School,10,878768,17723,4,4,1347741,1385630,0.1,0,5,0,0,0,0,22,1845224,27,27,Good,1,0.49,8,3,937832,910882,Monthly,116324,102241,219683,0.3197,3,3,32,58,9,Good,0.9911,1,1,0,0,60,Current,Current,0,3,Residential Property,1745247.0,0.6951,Independent House,,Tier-1,Yes
LOAN00028,28,Auto Loan,1284686,60,9.33,26874,17925,2019-11-08,Closed,0,38,1607931,13,Single,Postgraduate,19,713978,267258,5,4,2584938,1707436,0.44,2,5,0,0,0,2,5,720694,172,2,Average,3,0.1,90,36,761863,733613,Monthly,120794,88794,183451,0.7473,2,4,31,23,0,Average,0.8132,3,2,0,90,90,Current,61-90 DPD,0,31,Vehicle,1466962.0,0.8757,,6.0,Tier-3,No
LOAN00029,29,Personal Loan,253687,12,12.79,22633,1582,2021-08-03,NPA,1,30,1574910,7,Single,Postgraduate,6,427651,299771,2,6,1885673,1105425,0.73,3,5,0,0,0,2,28,1894860,28,28,Average,4,0.42,77,45,392044,418572,Monthly,140822,63850,62543,0.5151,7,7,116,99,5,Average,0.813,4,4,0,30,30,Current,1-30 DPD,0,70,,,,,,,
LOAN00030,30,Home Loan,659614,48,8.52,16264,4211,2022-09-14,Default,1,53,270376,8,Married,Postgraduate,9,535805,139512,3,3,409309,2241675,0.01,1,5,0,0,0,1,36,1583950,151,40,Poor,0,0.11,18,23,532287,541709,Irregular,23413,20554,71847,0.2112,3,11,139,48,3,Poor,0.2925,0,0,0,60,60,Current,31-60 DPD,0,70,Residential Property,1126722.0,0.5854,Independent House,,Tier-1,Yes
LOAN00031,31,Personal Loan,609955,12,13.21,54539,3335,2020-01-02,Active,0,42,996561,0,Single,PhD,10,419308,141108,11,3,349523,381899,0.75,4,7,2,1,1,0,39,1034398,93,15,Good,3,0.92,32,94,428262,411989,,79206,91013,21144,0.4822,2,4,95,45,4,Good,0.8002,3,2,90,90,90,90+ DPD,61-90 DPD,1,64,,,,,,,
LOAN00032,32,Auto Loan,578155,48,12.23,15290,7632,2022-03-07,Active,0,62,1048113,23,Married,Graduate,16,362604,271643,8,2,188273,1496891,0.58,0,1,0,0,0,0,32,250559,178,45,Average,0,0.7,39,13,363744,380258,Irregular,91220,53612,103338,0.1137,1,4,39,67,2,Average,0.6396,0,0,0,15,90,Current,Current,0,61,Vehicle,867199.0,0.6667,,6.0,Tier-2,Yes
LOAN00033,33,Business Loan,626677,24,10.37,29025,6290,2020-11-24,Default,1,56,2373097,27,Married,Graduate,10,144752,496322,11,3,969994,620765,0.97,2,3,2,2,1,3,35,1793218,171,11,Average,2,0.41,10,69,104042,110342,Monthly,193400,199614,28889,0.7355,3,15,15,84,5,Average,0.5589,2,1,60,60,60,61-90 DPD,31-60 DPD,0,55,Machinery,692838.0,0.9045,,,Tier-3,Yes
LOAN00034,34,Personal Loan,1912112,24,15.4,93075,17971,2019-06-19,NPA,1,40,757515,23,Married,Graduate,10,172731,489993,8,7,1491901,2321566,0.4,0,4,2,2,2,0,24,1590294,66,44,Good,0,0.05,19,89,167975,194310,Irregular,67784,69551,25553,0.1457,2,6,52,23,3,Good,0.9319,0,0,60,90,90,61-90 DPD,61-90 DPD,0,71,,,,,,,
LOAN00035,35,Business Loan,1412279,24,15.19,68604,20665,2021-12-18,Active,0,43,774648,1,Married,Graduate,13,534981,8099,11,5,1877919,1772203,0.1,2,6,0,0,0,0,2,1369115,129,1,Poor,0,0.02,5,50,577661,571786,,58511,44443,141542,0.8519,3,4,140,85,2,Poor,0.2613,0,0,0,60,60,Current,31-60 DPD,2,35,Inventory,1789194.0,0.7893,,,Tier-3,Yes
LOAN00036,36,Business Loan,1708222,24,11.75,80212,24098,2022-10-19,Active,0,47,1911054,16,Married,Graduate,1,710758,455798,8,6,477659,465957,0.68,1,5,0,0,0,0,56,1627181,185,47,Average,0,0.85,84,65,767636,755254,Monthly,168306,145365,75861,0.7169,0,2,63,16,1,Average,0.7552,0,0,0,15,90,Current,Current,1,71,Machinery,1883089.0,0.9071,,,Tier-1,Yes
LOAN00037,37,Business Loan,1726456,12,11.93,153336,27667,2019-06-29,Active,0,26,2406017,28,Single,High School,19,731149,330340,1,4,2102137,1438778,0.91,3,3,0,0,0,0,31,1746100,174,39,Good,1,0.24,84,16,772876,774645,Monthly,218463,173695,166365,0.6859,1,0,155,80,9,Good,0.9585,1,0,0,30,30,Current,1-30 DPD,0,56,Commercial Property,3096354.0,0.5576,,,Tier-1,Yes
LOAN00038,38,Home Loan,1143100,12,9.78,100379,10533,2021-08-18,Default,1,33,1781145,9,Single,Graduate,4,800666,387514,3,2,1706173,2165726,0.31,0,3,1,1,1,0,44,1446104,194,58,Good,2,0.19,12,43,765870,740152,Monthly,145153,96098,214569,0.189,4,16,140,63,0,Good,0.8935,2,2,90,90,90,90+ DPD,61-90 DPD,0,36,Residential Property,1483028.0,0.7708,Apartment,,Tier-2,No
LOAN00039,39,Education Loan,1517662,36,7.0,46860,19119,2020-10-09,Active,0,53,1509127,26,Single,Postgraduate,8,665449,285697,6,4,175345,1974302,0.84,2,3,0,0,0,0,6,1716322,68,18,Average,2,0.97,92,98,733203,736222,Monthly,114689,65770,23086,0.5308,1,1,78,35,8,Average,0.6286,2,2,0,0,90,Current,Current,0,69,,,,,,,
LOAN00040,40,Home Loan,1373651,60,12.65,31009,20734,2021-04-04,Active,0,48,2132456,17,Married,Postgraduate,9,977993,66261,4,2,554253,2262617,0.06,3,5,1,0,0,1,49,346641,105,2,Average,2,0.44,5,85,992782,1010027,Monthly,165401,99505,76780,0.6069,2,0,47,88,9,Average,0.6325,2,1,15,15,15,1-30 DPD,Current,0,45,Residential Property,2004351.0,0.6853,Apartment,,Tier-1,Yes
LOAN00041,41,Business Loan,1488322,36,10.83,48606,18711,2019-03-29,Active,0,22,782142,28,Single,Postgraduate,10,123140,129554,11,3,2110361,2280052,0.16,1,6,1,1,1,0,4,611881,112,18,Good,0,0.84,5,41,137119,118382,Monthly,62513,74487,4149,0.5195,3,1,160,79,5,Good,0.8897,0,0,90,90,90,90+ DPD,61-90 DPD,2,25,Inventory,1912405.0,0.7782,,,Tier-1,Yes
LOAN00042,42,Home Loan,1945196,12,7.0,168311,38544,2020-07-05,Active,0,32,2462191,10,Married,Graduate,1,743699,472734,7,6,693754,497166,0.12,3,3,0,0,0,2,41,1979993,27,19,Good,0,0.15,49,57,781035,799003,Monthly,201285,210403,76655,0.3616,2,1,129,44,4,Good,0.9014,0,0,0,0,0,Current,Current,3,31,Residential Property,2227250.0,0.8734,Apartment,,Tier-1,Yes
LOAN00043,43,Auto Loan,283080,60,12.15,6318,4769,2022-02-16,Active,0,32,325855,25,Married,Graduate,5,161535,397021,8,6,2270696,1771206,0.19,3,8,0,0,0,0,0,322161,199,56,Good,0,0.94,80,52,195104,172041,Irregular,29002,34232,8705,0.2917,2,1,152,57,8,Good,0.9266,0,0,0,0,0,Current,Current,0,4,Vehicle,468764.0,0.6039,,8.0,Tier-2,Yes
LOAN00044,44,Business Loan,964575,72,15.77,20801,5663,2019-01-16,Closed,0,50,922667,6,Divorced,PhD,18,579080,102424,11,5,1564896,1793200,0.52,1,5,1,1,1,2,9,1178693,234,11,Good,2,0.3,13,23,653403,678862,Monthly,76544,88378,41888,0.3418,3,2,11,74,4,Good,0.9976,2,2,60,60,60,61-90 DPD,31-60 DPD,1,42,Commercial Property,1550202.0,0.6222,,,Tier-2,Yes
LOAN00045,45,Home Loan,1940814,60,14.29,45451,12208,2021-05-20,Active,0,52,286318,6,Married,Graduate,7,996583,435748,7,5,931672,317410,0.54,4,6,0,0,0,0,20,1700529,198,50,Good,4,0.47,59,2,979510,1006993,Bi-Monthly,22690,11511,41843,0.62,3,3,109,34,9,Good,0.8144,4,3,0,60,90,Current,31-60 DPD,0,34,Residential Property,3178880.0,0.6105,Plot,,Tier-1,Yes
LOAN00046,46,Auto Loan,764190,48,11.65,19992,5816,2020-02-22,Active,0,62,2305607,3,Single,Graduate,6,702524,498317,6,7,2973292,1850811,0.97,2,2,0,0,0,0,47,918855,146,31,Good,0,0.07,13,66,702736,685118,Monthly,181143,112591,31464,0.5564,0,4,80,29,6,Good,0.8826,0,0,0,60,60,Current,31-60 DPD,0,58,Vehicle,852730.0,0.8962,,8.0,Tier-2,No
LOAN00047,47,Education Loan,84924,24,12.48,4016,708,2021-01-12,Active,0,54,1618673,18,Single,Graduate,9,90880,353508,3,4,1411499,912604,0.54,4,8,0,0,0,1,45,492784,225,5,Good,2,0.94,51,14,65087,63367,Irregular,125352,76803,13259,0.1942,3,3,155,67,0,Good,0.9238,2,1,0,0,15,Current,Current,0,22,,,,,,,
LOAN00048,48,Home Loan,1802395,24,11.17,84148,26241,2021-12-30,NPA,1,33,612346,11,Married,Postgraduate,18,506147,231849,6,4,368399,2181445,0.95,3,3,0,0,0,3,3,1275241,181,4,Poor,1,0.77,98,63,508427,480697,Monthly,46264,46430,89977,0.5741,7,10,36,29,2,Poor,0.4202,1,1,0,0,0,Current,Current,0,56,Residential Property,2827686.0,0.6374,Apartment,,Tier-1,Yes
LOAN00049,49,Home Loan,1684876,36,15.64,58936,22135,2019-06-15,NPA,1,34,1282119,10,Single,Postgraduate,12,948510,376338,3,1,1484086,1587610,0.7,0,3,1,0,0,0,24,1213973,85,48,Poor,0,0.39,84,21,972071,959090,Monthly,106565,83580,171833,0.6237,3,17,142,7,5,Poor,0.5416,0,0,15,60,60,1-30 DPD,31-60 DPD,0,58,Residential Property,2145720.0,0.7852,Apartment,,Tier-2,Yes
LOAN00050,50,Education Loan,917436,24,13.35,43767,15339,2021-08-04,Closed,0,33,1942438,3,Single,Graduate,11,647116,99914,8,4,178096,1238528,0.55,2,6,0,0,0,2,58,934858,212,15,Good,1,0.13,85,87,737443,721953,Irregular,173237,113407,144193,0.5718,2,2,13,86,1,Good,0.9511,1,1,0,30,30,Current,1-30 DPD,1,70,,,,,,,
LOAN00051,51,Personal Loan,1053015,36,7.0,32514,14497,2021-11-28,NPA,1,56,1412707,15,Divorced,Postgraduate,11,295057,433697,8,3,520900,80568,0.46,1,3,0,0,0,3,50,1088241,59,13,Good,4,0.1,92,39,323990,300431,Monthly,121043,72532,20308,0.3003,7,16,47,49,9,Good,0.8084,4,3,0,0,90,Current,Current,0,66,,,,,,,
LOAN00052,52,Personal Loan,1782517,24,17.51,88569,24358,2020-02-10,Active,0,45,721107,25,Married,High School,15,826806,364669,9,3,340796,1492701,0.05,2,5,0,0,0,1,43,1527290,23,2,Poor,0,0.52,88,24,815396,831284,,65942,35090,183557,0.3906,1,4,117,28,0,Poor,0.3046,0,0,0,15,60,Current,Current,1,31,,,,,,,
LOAN00053,53,Personal Loan,823448,48,10.19,20959,6127,2022-05-25,Default,1,61,2224033,2,Single,Graduate,1,918904,401112,4,5,523246,645947,0.46,0,3,0,0,0,0,28,807264,111,52,Poor,4,0.16,59,82,908527,912617,Monthly,170322,173572,55356,0.5235,7,17,114,12,4,Poor,0.343,4,3,0,60,60,Current,31-60 DPD,0,1,,,,,,,
LOAN00054,54,Personal Loan,825885,24,11.66,38746,7591,2021-08-05,Active,0,30,2496696,22,Married,Postgraduate,18,284752,158119,2,2,2016962,1189038,0.29,4,4,0,0,0,2,11,1039309,179,35,Good,0,0.4,42,5,344149,351136,Monthly,217685,246720,94097,0.4519,0,2,114,73,8,Good,0.9258,0,0,0,0,90,Current,Current,3,43,,,,,,,
LOAN00055,55,Personal Loan,1668449,36,16.16,58789,24386,2019-04-16,NPA,1,61,2223583,9,Single,Postgraduate,4,262617,226343,3,7,2131774,950792,0.26,3,7,1,1,0,0,53,58260,124,48,Good,0,0.2,32,92,233171,245992,Monthly,173875,107423,69859,0.7132,2,7,95,81,4,Good,0.8868,0,0,30,90,90,31-60 DPD,61-90 DPD,0,4,,,,,,,
LOAN00056,56,Home Loan,1822272,24,13.73,87260,15712,2021-01-02,Active,0,32,351662,23,Married,High School,4,909457,1289,5,4,1397603,1309177,0.18,4,6,1,1,0,3,23,293217,108,25,Average,1,0.67,98,72,957913,928402,Monthly,28287,23330,130643,0.6358,0,1,36,87,0,Average,0.7433,1,0,30,30,30,31-60 DPD,1-30 DPD,0,13,Residential Property,2640039.0,0.6902,Apartment,,Tier-1,Yes
LOAN00057,57,Business Loan,1689924,36,14.92,58515,32209,2019-09-22,Closed,0,21,571748,16,Married,High School,2,286623,222123,6,3,2756002,1152020,0.34,1,5,0,0,0,0,4,161224,191,28,Poor,3,0.58,97,11,364903,370287,,52255,21977,110811,0.7866,1,4,166,37,9,Poor,0.5154,3,2,0,90,90,Current,61-90 DPD,1,15,Commercial Property,2931684.0,0.5764,,,Tier-1,Yes
LOAN00058,58,Auto Loan,283132,48,13.3,7637,5246,2020-03-18,Default,1,44,2329227,11,Single,Graduate,14,657587,460894,8,4,629242,1285011,0.3,0,5,0,0,0,0,58,1961561,159,8,Poor,4,0.16,50,11,702042,731812,Monthly,209437,226614,144259,0.6499,4,8,27,50,1,Poor,0.2992,4,4,0,60,60,Current,31-60 DPD,0,4,Vehicle,358329.0,0.7901,,1.0,Tier-1,Yes
LOAN00059,59,Business Loan,1361736,48,16.03,38612,22534,2019-11-26,Closed,0,32,451580,23,Single,PhD,11,835298,166590,5,0,1767617,791907,0.94,1,2,0,0,0,0,4,1502951,198,1,Poor,3,0.9,22,69,918103,903256,Monthly,36700,42786,181329,0.5471,2,2,54,74,1,Poor,0.3614,3,2,0,15,15,Current,Current,0,53,Commercial Property,1861789.0,0.7314,,,Tier-1,Yes
LOAN00060,60,Business Loan,500777,24,10.3,23177,5950,2021-06-23,Default,1,56,221449,5,Divorced,PhD,13,65776,136863,3,4,2482867,1125086,0.17,1,3,0,0,0,0,30,736699,156,12,Average,1,0.07,46,85,30222,42176,Irregular,18057,8894,4555,0.7548,7,8,63,43,2,Average,0.6589,1,0,0,30,30,Current,1-30 DPD,0,33,Inventory,752076.0,0.6659,,,Tier-1,No
