index,Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Pct,EMI_Amount,Processing_Fee,Disbursal_Date,Loan_Status,Default,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Savings_Account_Balance,Checking_Account_Balance,No_of_Open_Accounts,No_of_Closed_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,No_of_Inquiries_12M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Oldest_Trade_Open_Months,Newest_Trade_Open_Months,Pay_History,Delinquency_12M,Credit_Card_Utilization,Behavior_Spending_Score,Behavior_Repayment_Score,Avg_Balance_6M,Avg_Balance_3M,Salary_Credit_Frequency,Avg_Monthly_Salary_Credit,Monthly_Spend,Cash_Withdrawal_3M,Merchant_Spend_Pct,Bounce_Count_6M,Negative_Balance_Days,Transaction_Count_3M,UPI_Txn_Count_3M,ECS_Mandate_Count,Pay_History_repay,Paid_On_Time_Pct,Late_Payment_Count_12M,Missed_Payment_Count,Max_DPD_3M,Max_DPD_6M,Max_DPD_12M,Current_DPD_Bucket,Prev_DPD_Bucket,Prepayment_Count,Total_EMI_Paid,Collateral_Type,Collateral_Value,LTV_Ratio,Property_Type,Vehicle_Age_Years,Collateral_Location_Tier,Collateral_Insurance,MOB,Vintage_Q,Bad_A,Bad_B,Bad_Flag,Good_Flag
83,LOAN00107,107,Auto Loan,905183,36,9.25,28890,10038,2019-10-22,Active,0,48,1531404,10,Single,Postgraduate,7,490523,436775,7,1,890553,1988423,0.2,1,2,0,0,0,0,54,472602,208,47,Average,0,0.46,80,75,486226,497177,Monthly,114892,51750,90920,0.2007,0,1,22,43,6,Average,0.6873,0,0,0,15,15,Current,Current,2,24,Vehicle,1101818.0,0.8215,,3.0,Tier-2,Yes,38,2019Q4,0,0,0,1
247,LOAN00324,324,Home Loan,1004641,48,12.1,26505,13852,2021-05-05,Default,1,59,1779365,19,Married,Graduate,4,812662,81318,9,1,2294101,2448654,0.51,2,6,0,0,0,0,16,948415,212,59,Poor,2,0.91,49,80,821607,800317,Monthly,140485,150882,145785,0.5294,6,12,62,41,6,Poor,0.3091,2,2,0,0,15,Current,Current,0,62,Residential Property,1566940.0,0.6411,Independent House,,Tier-3,Yes,20,2021Q2,1,0,1,0
347,LOAN00454,454,Personal Loan,441496,36,13.1,14897,8345,2020-01-11,Default,1,49,1167594,22,Single,PhD,6,116733,120281,5,2,372272,282348,0.97,2,2,1,1,1,0,48,679247,143,26,Poor,0,0.37,85,91,103094,108623,Monthly,97482,59605,23292,0.2937,3,16,17,37,0,Poor,0.3531,0,0,90,90,90,90+ DPD,61-90 DPD,0,58,,,,,,,,36,2020Q1,1,1,1,0
320,LOAN00419,419,Business Loan,919062,60,13.2,21005,11032,2020-07-08,Active,0,60,1159585,6,Single,High School,19,341261,273591,2,3,912897,838039,0.41,2,6,0,0,0,0,15,52675,93,57,Average,0,0.43,51,95,351104,377607,Monthly,87877,61978,99857,0.6728,2,4,41,88,6,Average,0.767,0,0,0,90,90,Current,61-90 DPD,0,59,Inventory,1442054.0,0.6373,,,Tier-2,Yes,30,2020Q3,0,1,0,1
76,LOAN00098,98,Home Loan,1786086,12,14.67,160931,32747,2019-04-25,Active,0,56,345130,3,Divorced,Postgraduate,11,198112,78312,4,0,2780250,2256480,0.27,0,5,0,0,0,0,29,646011,234,47,Good,0,0.58,80,94,229367,255364,Monthly,26055,25707,17095,0.3977,0,0,92,40,2,Good,0.9972,0,0,0,30,30,Current,1-30 DPD,0,41,Residential Property,2342815.0,0.7624,Apartment,,Tier-2,Yes,44,2019Q2,0,0,0,1
279,LOAN00368,368,Personal Loan,413409,72,8.8,7410,5901,2020-09-21,NPA,1,54,2362876,14,Divorced,High School,2,599502,15096,3,0,377358,238860,0.62,1,5,0,0,0,2,7,210263,65,16,Average,2,0.79,95,32,644914,644107,Irregular,209364,100999,10829,0.0926,6,9,162,38,1,Average,0.6657,2,2,0,15,15,Current,Current,0,27,,,,,,,,27,2020Q3,1,0,1,0
252,LOAN00329,329,Business Loan,405315,60,14.62,9561,4687,2019-12-18,Closed,0,22,622570,6,Married,High School,14,909990,225917,3,0,2444720,2104053,0.8,3,6,0,0,0,0,24,994448,86,8,Average,0,0.84,6,34,927003,943642,Bi-Monthly,55887,41581,71624,0.1785,3,4,86,0,3,Average,0.5893,0,0,0,0,0,Current,Current,0,54,Inventory,667627.0,0.6071,,,Tier-1,Yes,36,2019Q4,0,0,0,1
265,LOAN00348,348,Home Loan,1733321,48,17.13,50131,10038,2019-11-04,Active,0,25,1590191,1,Single,High School,7,798147,240877,8,4,1968935,2357619,0.13,1,1,0,0,0,1,30,835083,178,40,Good,2,0.62,63,37,845391,850639,Monthly,140491,64708,150840,0.6811,3,0,90,64,6,Good,0.962,2,1,0,0,0,Current,Current,1,31,Residential Property,2490516.0,0.696,Apartment,,Tier-2,No,38,2019Q4,0,0,0,1
293,LOAN00386,386,Personal Loan,1752820,60,13.03,39908,21285,2019-12-07,Default,1,46,295383,0,Married,PhD,1,447904,91594,3,0,1500589,328014,0.49,3,8,1,0,0,0,44,282628,69,35,Poor,0,0.49,45,58,500705,493443,Monthly,22974,11579,128890,0.1801,3,4,52,30,4,Poor,0.2844,0,0,15,15,15,1-30 DPD,Current,0,18,,,,,,,,37,2019Q4,1,0,1,0
121,LOAN00150,150,Home Loan,312508,60,12.19,6981,2711,2020-09-28,Active,0,51,1480452,13,Married,Postgraduate,19,694076,282929,2,2,1045166,975936,0.86,1,5,0,0,0,1,40,1457408,235,37,Average,0,0.33,68,79,740939,725959,Monthly,130724,84588,192530,0.3628,1,4,101,99,0,Average,0.644,0,0,0,15,15,Current,Current,1,46,Residential Property,411955.0,0.7586,Independent House,,Tier-1,Yes,27,2020Q3,0,0,0,1
256,LOAN00334,334,Home Loan,671014,48,14.86,18627,6719,2019-05-25,Default,1,57,1132168,10,Married,Graduate,5,687192,476197,9,2,523065,1907959,0.15,1,1,0,0,0,2,47,1362081,216,32,Average,0,0.96,28,98,715712,733560,Monthly,93793,44120,33857,0.4605,5,11,5,72,2,Average,0.6335,0,0,0,60,60,Current,31-60 DPD,0,7,Residential Property,1104251.0,0.6077,Apartment,,Tier-1,No,43,2019Q2,1,0,1,0
47,LOAN00062,62,Personal Loan,860670,48,10.49,22031,16843,2019-12-30,Active,0,23,1438001,6,Married,Postgraduate,12,74318,16757,10,0,380056,2274868,0.95,2,3,2,1,1,0,29,1228263,231,45,Poor,1,0.3,63,88,31364,59101,Monthly,111632,58579,815,0.61,3,3,50,64,2,Poor,0.4953,1,0,90,90,90,90+ DPD,61-90 DPD,0,43,,,,,,,,36,2019Q4,0,1,0,1
73,LOAN00094,94,Business Loan,1689118,48,9.84,42710,25254,2019-09-16,Active,0,26,1422193,26,Married,Postgraduate,6,891351,168671,9,1,2887668,1799704,0.3,2,4,1,0,0,0,24,1883606,225,57,Good,1,0.07,31,9,902763,922670,,127987,126360,34950,0.6536,0,3,141,6,5,Good,0.9338,1,0,15,15,60,1-30 DPD,Current,1,14,Machinery,1996673.0,0.846,,,Tier-3,Yes,40,2019Q3,0,0,0,1
235,LOAN00309,309,Home Loan,497223,12,9.45,43586,3167,2019-10-06,Active,0,33,1315468,3,Single,Graduate,4,946211,440207,4,1,108536,1313604,0.96,0,0,1,1,0,1,40,737673,198,19,Good,3,0.48,88,17,905654,912247,Monthly,120260,101252,3720,0.3553,3,3,28,82,4,Good,0.9104,3,3,30,90,90,31-60 DPD,61-90 DPD,1,35,Residential Property,855534.0,0.5812,Apartment,,Tier-2,Yes,39,2019Q4,0,1,0,1
254,LOAN00331,331,Home Loan,1963072,24,13.83,94095,38748,2020-07-18,Active,0,36,2132235,2,Divorced,Graduate,8,966693,269880,5,4,122662,1307557,0.32,1,5,1,1,0,3,19,1563186,135,2,Average,1,0.3,74,69,932091,926793,Monthly,194012,197096,46589,0.2136,3,2,25,4,2,Average,0.7214,1,1,30,30,90,31-60 DPD,1-30 DPD,2,15,Residential Property,3056240.0,0.6423,Apartment,,Tier-3,Yes,29,2020Q3,0,1,0,1
104,LOAN00131,131,Personal Loan,682209,48,11.9,17931,5066,2021-02-11,Closed,0,27,2381830,2,Married,Postgraduate,5,454906,356331,6,6,1723287,106857,0.85,4,4,0,0,0,0,30,209621,51,27,Good,0,0.84,14,4,414683,439631,Bi-Monthly,189646,220026,75795,0.2648,0,4,170,15,4,Good,0.9934,0,0,0,15,15,Current,Current,0,53,,,,,,,,22,2021Q1,0,0,0,1
222,LOAN00291,291,Auto Loan,1108368,36,12.3,36972,6743,2019-08-24,Closed,0,54,476000,6,Married,Postgraduate,1,405371,343436,2,4,1926646,1574862,0.92,3,3,0,0,0,0,29,1378693,101,42,Average,0,0.52,18,82,409007,401833,Bi-Monthly,36108,18539,120276,0.6543,2,0,173,97,3,Average,0.7597,0,0,0,0,0,Current,Current,1,26,Vehicle,1748452.0,0.6339,,0.0,Tier-2,Yes,40,2019Q3,0,0,0,1
43,LOAN00057,57,Business Loan,1689924,36,14.92,58515,32209,2019-09-22,Closed,0,21,571748,16,Married,High School,2,286623,222123,6,3,2756002,1152020,0.34,1,5,0,0,0,0,4,161224,191,28,Poor,3,0.58,97,11,364903,370287,,52255,21977,110811,0.7866,1,4,166,37,9,Poor,0.5154,3,2,0,90,90,Current,61-90 DPD,1,15,Commercial Property,2931684.0,0.5764,,,Tier-1,Yes,39,2019Q3,0,1,0,1
110,LOAN00137,137,Business Loan,1720147,12,13.39,153953,34178,2021-01-29,Default,1,52,2052855,23,Married,Postgraduate,1,273144,444201,10,2,2607887,1467377,0.32,3,5,0,0,0,0,27,1553303,78,27,Average,3,0.47,71,66,241745,219936,Monthly,178256,81138,12511,0.5705,7,13,15,25,6,Average,0.7618,3,2,0,0,0,Current,Current,0,67,Inventory,2667603.0,0.6448,,,Tier-1,Yes,23,2021Q1,1,0,1,0
223,LOAN00292,292,Business Loan,864358,48,13.77,23520,14487,2020-11-06,Active,0,53,1458623,23,Divorced,Graduate,3,144751,169725,11,7,652697,873180,0.82,3,3,1,1,0,0,7,1546874,176,6,Poor,0,0.49,17,28,170023,162349,Irregular,119856,60176,35058,0.3793,1,1,134,88,9,Poor,0.5851,0,0,30,30,90,31-60 DPD,1-30 DPD,0,36,Machinery,1100697.0,0.7853,,,Tier-2,Yes,26,2020Q4,0,1,0,1
197,LOAN00258,258,Education Loan,284614,48,7.0,6815,3085,2020-06-26,Default,1,47,974662,2,Married,Graduate,14,230579,105389,4,6,2432117,1027930,0.4,2,2,1,1,1,0,20,913344,78,8,Poor,0,0.38,10,7,195259,180842,,77093,67958,5928,0.6567,6,17,108,77,5,Poor,0.4418,0,0,90,90,90,90+ DPD,61-90 DPD,0,7,,,,,,,,30,2020Q2,1,1,1,0
373,LOAN00486,486,Personal Loan,502816,24,14.49,24258,8491,2019-10-03,Active,0,23,2474082,9,Married,Graduate,16,989156,127156,10,1,2379749,326475,0.71,4,5,0,0,0,0,14,544652,28,28,Good,0,0.39,56,21,1044336,1068543,Monthly,204170,174959,279150,0.6557,1,3,52,47,4,Good,0.9045,0,0,0,60,60,Current,31-60 DPD,0,45,,,,,,,,39,2019Q4,0,0,0,1
304,LOAN00399,399,Personal Loan,146344,24,11.79,6874,1308,2019-01-24,Active,0,41,873407,14,Married,Graduate,9,109750,327929,4,6,2375395,525546,0.05,0,2,1,0,0,0,31,1176070,112,44,Average,0,0.87,32,77,108665,117142,Monthly,78287,71942,32228,0.5639,1,4,76,85,2,Average,0.6561,0,0,15,30,30,1-30 DPD,1-30 DPD,0,56,,,,,,,,47,2019Q1,0,0,0,1
51,LOAN00067,67,Personal Loan,713181,60,16.27,17445,8522,2019-08-13,Active,0,48,1207014,21,Married,Postgraduate,4,98332,126848,5,0,497771,2064640,0.44,2,2,0,0,0,1,57,693178,79,30,Good,0,0.02,12,49,65098,88523,Monthly,100800,83362,20267,0.3866,2,3,162,98,7,Good,0.9244,0,0,0,0,60,Current,Current,1,62,,,,,,,,41,2019Q3,0,0,0,1
350,LOAN00458,458,Personal Loan,1085803,24,11.4,50808,13545,2019-01-07,Active,0,34,670486,23,Married,PhD,10,898728,143176,2,3,189207,202130,0.12,0,2,1,0,0,0,48,1624772,137,53,Poor,1,0.87,77,88,918089,921884,Irregular,59966,27314,210208,0.1478,1,4,57,54,1,Poor,0.3679,1,1,15,90,90,1-30 DPD,61-90 DPD,0,42,,,,,,,,48,2019Q1,0,1,0,1
250,LOAN00327,327,Auto Loan,1796125,48,10.38,45882,27374,2019-08-28,Active,0,49,994174,29,Single,Graduate,3,469092,176569,2,4,1602077,2350203,0.48,3,3,0,0,0,0,32,768097,134,41,Poor,4,0.52,88,78,433408,460663,Monthly,80388,69897,114487,0.3833,2,1,105,72,4,Poor,0.3894,4,3,0,0,0,Current,Current,2,60,Vehicle,2887693.0,0.622,,8.0,Tier-1,Yes,40,2019Q3,0,0,0,1
132,LOAN00165,165,Auto Loan,1931895,72,16.41,42343,38190,2020-06-08,Active,0,22,1224164,9,Divorced,Graduate,14,394600,226399,10,1,395220,232075,0.39,3,3,0,0,0,1,16,1786796,130,40,Good,1,0.39,33,16,477605,448554,Irregular,109917,93715,65187,0.2594,2,3,177,24,4,Good,0.9134,1,1,0,60,60,Current,31-60 DPD,2,26,Vehicle,3325429.0,0.5809,,4.0,Tier-3,No,31,2020Q2,0,0,0,1
71,LOAN00091,91,Auto Loan,1704303,36,12.96,57391,31800,2020-06-11,Active,0,28,346730,2,Single,High School,12,931366,297499,10,2,2204715,849705,0.57,1,6,0,0,0,1,26,823898,191,37,Poor,3,0.1,2,41,945577,930546,Irregular,27736,14957,222134,0.8536,0,2,145,31,3,Poor,0.2086,3,3,0,30,30,Current,1-30 DPD,1,11,Vehicle,2216988.0,0.7687,,5.0,Tier-1,No,31,2020Q2,0,0,0,1
176,LOAN00226,226,Education Loan,1046454,12,11.26,92614,18031,2020-06-24,Active,0,63,1938389,20,Single,High School,1,727340,284892,1,6,2070322,2244013,1.0,3,4,1,1,1,2,36,1808786,17,12,Average,0,0.85,10,47,777096,763033,Monthly,167113,116533,102431,0.1793,3,4,44,42,9,Average,0.7208,0,0,90,90,90,90+ DPD,61-90 DPD,1,28,,,,,,,,30,2020Q2,0,1,0,1
180,LOAN00235,235,Home Loan,339838,36,13.46,11525,5144,2020-08-11,Active,0,61,1484075,22,Married,Postgraduate,3,399670,238151,1,5,1476032,1777634,0.4,3,4,0,0,0,1,36,1599732,152,56,Average,3,0.23,48,13,438900,424347,Bi-Monthly,126056,150963,15812,0.3452,0,4,154,91,3,Average,0.576,3,3,0,90,90,Current,61-90 DPD,3,43,Residential Property,599108.0,0.5672,Independent House,,Tier-2,Yes,29,2020Q3,0,1,0,1
294,LOAN00387,387,Auto Loan,385989,36,14.51,13288,5381,2021-06-28,Closed,0,54,1830630,0,Single,Graduate,12,536797,491878,11,4,1003164,1771481,0.2,4,4,0,0,0,0,6,1329408,105,13,Average,1,0.67,45,8,527158,510229,,148745,70396,68750,0.2513,1,3,19,39,6,Average,0.7863,1,0,0,15,30,Current,Current,1,17,Vehicle,583250.0,0.6618,,5.0,Tier-2,No,18,2021Q2,0,0,0,1
291,LOAN00384,384,Auto Loan,1004189,24,14.53,48465,15931,2019-06-14,Closed,0,63,2061278,12,Married,Graduate,10,338164,92967,4,1,1061755,1399976,0.5,0,2,2,2,1,0,54,256906,210,37,Poor,2,0.95,84,45,293707,271230,,158444,168018,7259,0.4759,1,4,92,18,2,Poor,0.4284,2,2,60,60,60,61-90 DPD,31-60 DPD,0,68,Vehicle,1679150.0,0.598,,3.0,Tier-2,Yes,43,2019Q2,0,0,0,1
3,LOAN00005,5,Personal Loan,1701348,12,10.1,149654,22821,2020-01-02,Active,0,61,2307475,13,Married,Postgraduate,10,971640,25690,2,1,592496,484719,0.9,0,1,0,0,0,0,13,1158714,122,34,Poor,0,0.95,6,43,992580,1005178,,196818,102391,186355,0.5012,0,4,128,84,2,Poor,0.2333,0,0,0,15,15,Current,Current,0,22,,,,,,,,36,2020Q1,0,0,0,1
209,LOAN00273,273,Auto Loan,927577,24,10.15,42867,17867,2020-07-14,Closed,0,25,831377,13,Married,High School,6,350994,60619,11,3,2856661,2163249,0.02,1,3,1,0,0,0,30,1317481,191,7,Average,0,0.37,39,67,316002,292851,,64968,44532,52824,0.3826,0,2,19,19,2,Average,0.6982,0,0,15,30,90,1-30 DPD,1-30 DPD,0,16,Vehicle,1517144.0,0.6114,,8.0,Tier-2,Yes,30,2020Q3,0,1,0,1
148,LOAN00189,189,Business Loan,835716,48,10.52,21405,16454,2020-02-03,Active,0,45,2450978,20,Divorced,Graduate,12,483016,369132,6,6,284746,603536,0.68,1,6,0,0,0,0,11,501041,93,8,Good,0,0.5,71,66,471378,452261,Bi-Monthly,188102,205724,9481,0.822,2,3,147,89,6,Good,0.9971,0,0,0,0,30,Current,Current,0,13,Commercial Property,1254526.0,0.6662,,,Tier-3,Yes,35,2020Q1,0,0,0,1
