index,Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Pct,EMI_Amount,Processing_Fee,Disbursal_Date,Loan_Status,Default,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Savings_Account_Balance,Checking_Account_Balance,No_of_Open_Accounts,No_of_Closed_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,No_of_Inquiries_12M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Oldest_Trade_Open_Months,Newest_Trade_Open_Months,Pay_History,Delinquency_12M,Credit_Card_Utilization,Behavior_Spending_Score,Behavior_Repayment_Score,Avg_Balance_6M,Avg_Balance_3M,Salary_Credit_Frequency,Avg_Monthly_Salary_Credit,Monthly_Spend,Cash_Withdrawal_3M,Merchant_Spend_Pct,Bounce_Count_6M,Negative_Balance_Days,Transaction_Count_3M,UPI_Txn_Count_3M,ECS_Mandate_Count,Pay_History_repay,Paid_On_Time_Pct,Late_Payment_Count_12M,Missed_Payment_Count,Max_DPD_3M,Max_DPD_6M,Max_DPD_12M,Current_DPD_Bucket,Prev_DPD_Bucket,Prepayment_Count,Total_EMI_Paid,Collateral_Type,Collateral_Value,LTV_Ratio,Property_Type,Vehicle_Age_Years,Collateral_Location_Tier,Collateral_Insurance,MOB,Vintage_Q,Bad_A,Bad_B,Bad_Flag,Good_Flag
54.0,LOAN00070,70,Education Loan,957589.0,36,12.12,31860.0,18310,2021-08-28,Active,0,42.0,2118881.0,28.689999999999998,Married,High School,4,403650.0,72445,9,4,1085987.0,647723.0,0.02,2,4,2,2,1,1,44.0,617483.0,231.0,7,Average,1,0.02,73.0,72.0,380805.0,406019,Monthly,171375.0,167536.0,89210.0,0.6215,2,2,29,70,4,Average,0.736,1,0,60,60,60,61-90 DPD,31-60 DPD,0,57,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,16,2021Q3,0,0,0,1
65.0,LOAN00084,84,Business Loan,291576.0,24,11.9,13711.0,2375,2021-12-07,Active,0,58.0,235952.0,2.0,Single,PhD,7,809693.0,478115,4,6,2530777.0,757792.0,0.9769,2,5,0,0,0,0,3.0,1588298.0,130.0,58,Poor,0,0.7,41.0,22.0,789146.0,804123,Monthly,19810.0,12053.61,102191.0,0.281,0,0,13,43,3,Poor,0.5038,0,0,0,0,0,Current,Current,0,30,Inventory,381756.0,0.7638,No_Collateral,0.0,Tier-1,Yes,12,2021Q4,0,0,0,1
75.0,LOAN00097,97,Education Loan,1277192.0,36,9.12,40685.0,22560,2021-09-02,Active,0,55.0,1804139.0,19.0,Single,High School,17,890653.0,404350,8,1,2046461.0,1388221.0,0.4,1,1,0,0,0,0,1.0,939002.0,191.0,29,Good,1,0.68,50.0,28.0,863642.0,879085,Monthly,151659.0,140414.0,259721.0,0.6377,0,0,171,87,5,Good,0.8066,1,1,0,90,90,Current,61-90 DPD,0,44,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,16,2021Q3,0,1,0,1
91.0,LOAN00116,116,Personal Loan,556746.0,12,11.18,49252.0,5990,2021-10-19,NPA,1,54.0,1725551.0,16.0,Married,Graduate,18,299840.0,448573,2,6,913040.0,2223888.0,0.8,0,0,1,1,0,1,2.0,1914276.0,77.0,56,Average,2,0.04,30.0,16.0,297487.0,311137,Monthly,138444.0,110542.0,5044.0,0.3336,3,15,85,12,3,Average,0.6386,2,1,30,60,60,31-60 DPD,31-60 DPD,0,5,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,14,2021Q4,1,0,1,0
98.0,LOAN00124,124,Personal Loan,730857.0,24,8.64,33268.0,10320,2021-10-23,Active,0,24.0,2403089.0,11.0,Single,High School,15,543706.0,486125,11,4,407264.0,954285.0,0.04,3,3,0,0,0,3,47.0,975206.0,140.0,50,Good,2,0.49,12.0,72.0,500027.0,521624,Monthly,210077.32,138730.0,33601.0,0.7064,2,2,121,16,6,Good,0.8431,2,1,0,0,60,Current,Current,0,46,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,14,2021Q4,0,0,0,1
111.0,LOAN00138,138,Auto Loan,537635.0,36,15.71,18824.0,4498,2021-12-30,Active,0,24.0,1243433.0,11.0,Single,Postgraduate,13,191618.0,450593,1,2,2479317.0,634811.0,0.35,0,3,2,1,1,1,30.0,1195024.0,49.0,21,Average,0,0.16,30.0,69.0,175078.0,185336,Bi-Monthly,111405.0,107337.0,53738.0,0.3666,1,0,80,87,3,Average,0.6687,0,0,90,90,90,90+ DPD,61-90 DPD,1,55,Vehicle,730669.0,0.7358,No_Collateral,0.0,Tier-1,Yes,12,2021Q4,0,1,0,1
134.0,LOAN00167,167,Personal Loan,83227.29,72,8.96,2096.3,1133,2021-10-27,Closed,0,37.0,656268.0,6.0,Single,High School,16,200741.0,381364,9,6,217170.0,1669047.0,0.74,4,9,0,0,0,2,15.0,120579.0,136.0,11,Good,2,0.94,96.0,12.0,247166.0,247237,Irregular,59247.0,50677.0,56470.0,0.6774,1,2,67,76,6,Good,0.8376,2,2,0,30,60,Current,1-30 DPD,1,6,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,14,2021Q4,0,0,0,1
137.0,LOAN00171,171,Business Loan,353242.0,24,12.38,16691.0,2960,2021-09-04,Closed,0,51.0,1406562.0,23.0,Single,High School,11,521490.0,129584,5,3,2721907.0,2169213.0,0.02,0,5,1,1,1,0,28.0,77908.62,194.0,13,Average,0,0.72,82.0,53.0,608349.0,579429,Monthly,122631.0,116808.0,17001.0,0.4366,2,1,101,21,1,Average,0.8062,0,0,60,60,90,61-90 DPD,31-60 DPD,2,17,Machinery,428488.0,0.8244,No_Collateral,0.0,Tier-1,Yes,16,2021Q3,0,1,0,1
138.0,LOAN00172,172,Personal Loan,1296605.0,24,16.64,63883.0,24171,2021-12-28,Default,1,40.0,2426633.0,19.0,Married,PhD,13,976083.0,333420,8,5,2502512.0,342038.0,0.41,3,6,1,1,1,2,53.0,537321.0,119.0,33,Poor,0,0.75,92.0,92.0,1035752.1,1016588,Monthly,196087.0,145320.0,83232.0,0.2802,6,7,98,20,6,Poor,0.2382,0,0,60,60,60,61-90 DPD,31-60 DPD,0,3,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,12,2021Q4,1,0,1,0
166.0,LOAN00215,215,Home Loan,714025.0,24,11.87,33568.0,10072,2021-10-24,Active,0,46.0,223459.1,23.0,Single,Graduate,1,269212.0,464911,1,4,1760469.0,1894844.0,0.12,1,1,0,0,0,0,22.0,1372204.0,149.0,39,Average,4,0.09,21.0,92.0,248260.0,250271,Irregular,17956.26,12053.61,45066.0,0.2369,2,4,167,95,3,Average,0.7347,4,4,0,90,90,Current,61-90 DPD,0,25,Residential Property,1112852.0,0.6416,Apartment,0.0,Tier-3,Yes,14,2021Q4,0,1,0,1
167.0,LOAN00216,216,Auto Loan,83227.29,12,8.1,6570.0,813,2021-12-25,Default,1,25.0,1689629.0,20.0,Single,High School,8,346940.0,97252,4,6,2449723.0,1962888.0,0.29,1,5,2,2,2,0,57.69,606037.0,212.0,17,Poor,0,0.62,59.0,36.0,443615.0,439603,Bi-Monthly,134979.0,115617.0,48484.0,0.3437,3,4,141,35,0,Poor,0.2252,0,0,90,90,90,90+ DPD,61-90 DPD,0,63,Vehicle,134245.0,0.5624,No_Collateral,5.0,Tier-1,Yes,12,2021Q4,1,1,1,0
170.0,LOAN00219,219,Personal Loan,492508.0,24,13.91,23625.0,9650,2021-12-05,Default,1,50.0,1979176.0,26.0,Single,High School,11,110541.0,368748,10,1,1466503.0,2286378.0,0.89,4,7,0,0,0,0,49.0,1264191.0,24.0,24,Average,3,0.82,92.0,90.0,118839.0,116363,Monthly,179627.0,149925.0,1544.0,0.2176,7,8,10,64,1,Average,0.5796,3,2,0,15,15,Current,Current,0,7,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,13,2021Q4,1,0,1,0
173.0,LOAN00223,223,Home Loan,1037849.0,24,12.61,49151.0,15882,2021-11-12,Default,1,40.0,658525.0,7.0,Married,High School,1,765224.0,445998,3,3,299412.0,1004312.0,0.9769,0,1,0,0,0,1,45.0,401290.0,29.0,29,Good,1,0.62,97.0,70.0,798218.0,792521,,50677.0,46206.0,70591.0,0.8428,2,8,77,12,6,Good,0.8545,1,0,0,0,15,Current,Current,0,65,Residential Property,1580754.0,0.6566,Apartment,0.0,Tier-3,No,13,2021Q4,1,0,1,0
178.0,LOAN00228,228,Personal Loan,974750.0,36,10.93,31879.0,13447,2021-08-16,Default,1,42.0,2070351.0,4.0,Married,Graduate,2,402654.0,130453,6,6,166928.0,696434.0,0.26,1,6,0,0,0,3,4.0,844161.0,151.0,30,Good,1,0.21,45.0,7.0,484420.0,488447,Bi-Monthly,160373.0,76503.0,55731.0,0.4874,6,10,29,17,1,Good,0.8038,1,1,0,15,15,Current,Current,0,58,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,16,2021Q3,1,0,1,0
179.0,LOAN00230,230,Personal Loan,990971.0,24,10.38,45902.0,19482,2021-12-23,Active,0,60.0,1107562.0,4.0,Divorced,Graduate,18,568815.0,265369,5,1,2277334.0,1343187.0,0.7,3,4,1,0,0,2,31.0,1583739.0,226.0,14,Poor,0,0.1,21.0,45.0,564706.0,570296,Monthly,99642.0,72048.0,102530.0,0.6807,3,3,173,66,7,Poor,0.3735,0,0,15,90,90,1-30 DPD,61-90 DPD,3,44,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,12,2021Q4,0,1,0,1
198.0,LOAN00259,259,Personal Loan,1127077.0,36,15.37,39275.0,9659,2021-08-01,NPA,1,59.0,687116.0,16.0,Married,Graduate,17,81670.0,294342,6,6,2972517.31,1682458.0,0.56,3,6,0,0,0,0,11.0,503831.0,199.0,19,Poor,2,0.02,54.0,3.0,119669.0,130633,Monthly,61854.0,70641.0,29975.0,0.4311,3,11,112,52,8,Poor,0.3321,2,2,0,30,30,Current,1-30 DPD,0,32,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,17,2021Q3,1,0,1,0
202.0,LOAN00263,263,Auto Loan,490364.0,60,11.78,10853.0,9152,2021-07-03,Closed,0,21.0,2458892.0,24.0,Single,High School,15,574644.0,156540,8,7,2545882.0,226114.0,0.6,3,7,0,0,0,3,48.0,1693974.0,74.0,15,Good,0,0.61,65.0,71.0,526131.0,551659,Monthly,190039.0,195264.0,53750.0,0.2641,0,2,105,7,0,Good,0.8793,0,0,0,60,60,Current,31-60 DPD,0,48,Vehicle,568856.0,0.862,No_Collateral,4.0,Tier-2,No,18,2021Q3,0,0,0,1
210.0,LOAN00274,274,Auto Loan,807080.0,12,7.0,69834.0,4659,2021-08-06,Closed,0,33.0,511051.0,12.0,Single,Graduate,5,860172.0,132450,1,6,2097008.0,677597.0,0.42,0,3,1,1,1,0,32.0,592419.0,160.0,52,Good,3,0.96,22.0,53.0,886934.0,867198,Monthly,45718.0,30100.0,175954.0,0.3352,2,4,58,6,8,Good,0.8869,3,3,60,60,90,61-90 DPD,31-60 DPD,0,8,Vehicle,893536.0,0.900685,No_Collateral,4.0,Tier-2,Yes,17,2021Q3,0,1,0,1
213.0,LOAN00279,279,Home Loan,1132616.0,36,8.79,35906.0,14202,2021-09-08,Active,0,59.0,1246218.0,4.0,Divorced,Postgraduate,13,333581.0,13097,8,3,1773219.0,1848628.0,0.77,1,4,0,0,0,2,9.0,618290.0,168.0,47,Poor,1,0.23,70.0,11.0,378130.0,407009,Monthly,103312.0,122321.0,94538.0,0.3776,3,3,170,26,8,Poor,0.2884,1,1,0,15,15,Current,Current,0,48,Residential Property,1555907.0,0.7279,Independent House,0.0,Tier-2,Yes,15,2021Q3,0,0,0,1
214.0,LOAN00282,282,Home Loan,330962.0,72,11.05,6308.0,5884,2021-09-02,Default,1,42.0,1372584.0,5.0,Single,Graduate,19,511660.0,365262,3,0,762037.0,599190.0,0.24,3,3,0,0,0,1,32.0,276299.0,15.620000000000001,2,Good,4,0.73,2.0,71.0,495090.0,480439,Monthly,124132.0,130847.0,98805.0,0.6994,4,15,150,51,2,Good,0.8423,4,3,0,30,30,Current,1-30 DPD,0,5,Residential Property,379657.0,0.8717,Apartment,0.0,Tier-2,No,16,2021Q3,1,0,1,0
217.0,LOAN00286,286,Auto Loan,1577639.0,60,17.9035,41264.0,10016,2021-12-24,Active,0,45.0,589306.0,11.0,Single,High School,18,65428.0,72825,7,2,1602391.0,31254.59,0.18,0,5,0,0,0,1,29.0,784193.0,190.0,34,Good,3,0.88,11.0,91.0,102514.0,117241,Monthly,49940.0,47701.0,20919.0,0.4965,2,1,90,40,1,Good,0.9817,3,3,0,30,30,Current,1-30 DPD,1,23,Vehicle,1841743.0,0.8566,No_Collateral,7.0,Tier-2,Yes,12,2021Q4,0,0,0,1
219.0,LOAN00288,288,Business Loan,205301.0,60,13.06,4677.0,1875,2021-07-30,Closed,0,63.0,1307535.0,27.0,Married,Graduate,12,577009.0,136162,8,4,2317155.0,895133.0,0.71,4,4,0,0,0,0,26.0,937213.0,134.0,41,Poor,1,0.6,40.0,79.0,595892.0,608820,Monthly,116873.0,63191.0,17097.0,0.2548,1,2,133,37,0,Poor,0.526,1,0,0,0,0,Current,Current,1,43,Machinery,328481.0,0.625,No_Collateral,0.0,Tier-3,No,17,2021Q3,0,0,0,1
220.0,LOAN00289,289,Personal Loan,713193.0,72,17.25,15965.0,11070,2021-12-07,NPA,1,63.0,1774395.0,27.0,Single,High School,5,44305.0,267729,2,3,735370.0,1618645.0,0.52,4,7,1,0,0,0,9.0,1468736.0,160.0,5,Good,5,0.54,60.0,55.0,83374.0,99060,Monthly,142825.0,130539.0,9008.0,0.7956,6,17,34,44,0,Good,0.9992,5,5,15,15,15,1-30 DPD,Current,0,32,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,12,2021Q4,1,0,1,0
224.0,LOAN00293,293,Home Loan,546068.0,24,12.56,25848.0,9914,2021-10-08,Active,0,52.0,2353544.0,0.0,Married,Postgraduate,4,150635.0,330435,7,3,225141.0,1210593.0,0.42,3,8,1,0,0,1,49.0,1488207.0,148.0,51,Poor,0,0.66,15.0,72.0,104145.0,107740,Monthly,203258.0,132973.0,1039.13,0.2229,2,4,93,74,7,Poor,0.2141,0,0,15,30,90,1-30 DPD,1-30 DPD,0,55,Residential Property,664800.0,0.8214,Apartment,0.0,Tier-3,Yes,14,2021Q4,0,1,0,1
228.0,LOAN00300,300,Auto Loan,1235873.0,36,17.9035,44990.0,23347,2021-12-27,Default,1,23.0,482998.0,23.0,Divorced,Graduate,16,834679.0,235371,3,2,2273637.0,2474617.0,0.04,3,5,0,0,0,0,19.0,622931.0,188.0,33,Poor,1,0.17,99.69,55.0,923592.0,916845,Monthly,38468.0,18361.0,174704.0,0.3973,5,3,133,57,9,Poor,0.3854,1,1,0,0,0,Current,Current,0,41,Vehicle,1880997.0,0.657,No_Collateral,3.0,Tier-1,Yes,12,2021Q4,1,0,1,0
241.0,LOAN00316,316,Business Loan,204083.0,36,14.83,7057.0,2242,2021-11-13,NPA,1,41.0,642051.0,8.0,Divorced,Postgraduate,18,483409.0,455204,3,1,443574.0,1786430.0,0.61,3,5,0,0,0,0,19.0,240347.0,49.0,44,Average,1,0.54,63.0,68.0,571575.0,592839,Monthly,49685.0,38181.0,150309.0,0.1996,4,7,118,36,3,Average,0.6955,1,0,0,0,0,Current,Current,0,11,Machinery,284184.0,0.7181,No_Collateral,0.0,Tier-3,Yes,13,2021Q4,1,0,1,0
251.0,LOAN00328,328,Education Loan,302162.0,24,13.64,14456.0,3516,2021-09-19,Active,0,52.0,753512.0,24.0,Divorced,Postgraduate,19,767445.0,177831,1,5,692914.0,471528.0,0.66,0,2,2,1,0,3,16.0,1646352.0,138.0,7,Good,3,0.8,18.0,15.0,783974.0,755779,Monthly,58856.0,60171.0,180167.0,0.5535,3,4,18,82,1,Good,0.9577,3,3,30,30,90,31-60 DPD,1-30 DPD,0,45,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,15,2021Q3,0,1,0,1
260.0,LOAN00342,342,Home Loan,1053575.0,12,14.07,94632.0,9933,2021-12-31,NPA,1,36.0,579076.0,19.0,Married,High School,17,742943.0,39623,3,4,2669675.0,2332986.0,0.53,3,3,2,1,1,1,12.0,998512.0,229.0,30,Poor,4,0.25,65.0,6.0,761015.0,762190,Monthly,49142.0,52499.0,23536.0,0.4575,5,19,125,48,1,Poor,0.333,4,3,90,90,90,90+ DPD,61-90 DPD,0,11,Residential Property,1734165.0,0.6075,Apartment,0.0,Tier-1,Yes,12,2021Q4,1,1,1,0
268.0,LOAN00352,352,Auto Loan,1448542.0,24,17.9035,72254.0,25090,2021-11-16,Active,0,45.0,759334.0,25.0,Married,PhD,3,453296.0,257809,9,2,1598693.0,430691.0,0.27,3,3,1,1,0,0,12.0,1829284.0,39.0,32,Good,3,0.36,21.0,2.0,469591.0,445334,Monthly,63585.0,30003.0,56156.0,0.8754,2,3,11,52,9,Good,0.8184,3,3,30,30,30,31-60 DPD,1-30 DPD,1,45,Vehicle,2104997.0,0.6881,No_Collateral,11.0,Tier-3,Yes,13,2021Q4,0,0,0,1
283.0,LOAN00372,372,Education Loan,1705320.0,12,8.69,148887.0,14358,2021-10-13,Default,1,34.0,2370281.0,13.0,Married,Postgraduate,5,42477.0,390231,8,3,2409980.0,379424.0,0.76,3,4,0,0,0,3,42.0,651916.0,127.0,5,Good,3,0.9669,71.0,41.0,48230.0,46722,Monthly,207554.0,184020.0,10657.0,0.6886,2,8,104,56,9,Good,0.977,3,2,0,0,60,Current,Current,0,65,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,14,2021Q4,1,0,1,0
284.0,LOAN00374,374,Personal Loan,143813.0,12,14.11,12919.0,2546,2021-12-03,Closed,0,63.0,1725789.0,10.0,Single,High School,10,287053.0,420938,6,5,1167861.0,2037292.0,0.75,2,3,2,2,2,0,47.0,732708.0,30.0,30,Average,0,0.96,15.0,21.0,314029.0,339951,Monthly,152605.0,131238.0,95890.0,0.1828,0,3,163,50,0,Average,0.7324,0,0,60,60,60,61-90 DPD,31-60 DPD,0,65,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,13,2021Q4,0,0,0,1
309.0,LOAN00405,405,Education Loan,92441.0,36,15.47,3225.0,873,2021-10-05,Closed,0,36.0,1659553.0,18.0,Divorced,PhD,12,879468.0,92836,3,5,456687.0,1232084.0,0.11,2,4,0,0,0,3,21.0,1414648.0,146.0,54,Good,4,0.83,64.0,24.0,953969.0,947044,,145809.0,81120.0,209349.0,0.7518,2,4,88,3,1,Good,0.8576,4,3,0,90,90,Current,61-90 DPD,0,6,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,15,2021Q4,0,1,0,1
327.0,LOAN00430,430,Home Loan,209987.0,12,10.96,18555.0,1330,2021-11-15,Active,0,63.69,2467601.0,28.0,Single,Graduate,5,484323.0,296411,11,4,1495451.0,1638474.0,0.36,4,4,1,0,0,3,0.31000000000000005,940453.0,17.0,17,Good,0,0.6,70.0,15.0,456707.0,446626,Monthly,189649.0,203354.0,10953.0,0.6528,2,1,141,55,8,Good,0.955,0,0,15,15,30,1-30 DPD,Current,1,8,Residential Property,242107.0,0.8673,Independent House,0.0,Tier-2,Yes,13,2021Q4,0,0,0,1
330.0,LOAN00433,433,Home Loan,1086860.0,24,13.1,51722.0,6653,2021-12-09,Active,0,41.0,713164.0,21.0,Divorced,Graduate,11,42157.0,395512,8,0,972799.0,1887745.0,0.35,2,5,0,0,0,2,2.0,636852.0,230.0,53,Average,0,0.96,99.69,98.69,101014.0,80899,Monthly,54311.0,38701.0,11949.0,0.6075,1,4,162,60,1,Average,0.6675,0,0,0,0,0,Current,Current,0,25,Residential Property,1342660.0,0.8095,Plot,0.0,Tier-3,Yes,12,2021Q4,0,0,0,1
352.0,LOAN00461,461,Personal Loan,1948230.0,60,10.76,42126.0,11154,2021-10-27,Default,1,44.0,2285510.0,5.0,Single,Graduate,19,770110.0,270058,4,5,500711.0,2034678.0,0.12,4,8,0,0,0,0,45.0,520138.0,85.0,20,Poor,4,0.53,94.0,44.0,838302.0,854456,Bi-Monthly,185546.0,156843.0,71259.0,0.492,4,10,25,63,0,Poor,0.2176,4,3,0,60,60,Current,31-60 DPD,0,58,No_Collateral,0.0,0.0,No_Collateral,0.0,No_Collateral,No_Collateral,14,2021Q4,1,0,1,0
