Customer_ID,Loan_ID,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Savings_Account_Balance,Loan_Type,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Pct,EMI_Amount,Pay_History,Delinquency_12M,Credit_Card_Utilization,Behavior_Spending_Score,Behavior_Repayment_Score,No_of_Open_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Oldest_Trade_Open_Months,Outstanding_Loans,Avg_Balance_6M,Bounce_Count_6M,Transaction_Count_3M,Max_DPD_12M,Missed_Payment_Count,Collateral_Value,LTV_Ratio,NPA_Flag,Default,Default_Date,Disbursal_Date,Loan_Status,Avg_Balance_3M,Salary_Credit_Frequency,Avg_Monthly_Salary_Credit,Monthly_Spend,Cash_Withdrawal_3M,Merchant_Spend_Pct,Negative_Balance_Days,UPI_Txn_Count_3M,ECS_Mandate_Count,Paid_On_Time_Pct,Late_Payment_Count_12M,Max_DPD_3M,Max_DPD_6M,Current_DPD_Bucket,Prev_DPD_Bucket,Prepayment_Count,Total_EMI_Paid,Collateral_Type,Property_Type,Vehicle_Age_Years,Collateral_Location_Tier,Collateral_Insurance,No_of_Closed_Accounts,No_of_Inquiries_12M,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Newest_Trade_Open_Months
734,LOAN00734,34,1157411,24,Single,Graduate,8,531002,Auto Loan,1853303,48,8.69,45847,Good,1,0.46,39,57,12,724740,225195,0.31,2,1,0,0,0,233,0,637182,1,141,0,0,2471424.07455213,0.75,0,0,,2022-05-28,Active,710116,Irregular,108494,56718,90078,0.1439,2,32,5,0.853,1,0,0,Current,Current,0,21,Vehicle,,0.0,Tier-1,Yes,2,2,53,462315,56
943,LOAN00943,33,659054,11,Single,Graduate,11,501649,Auto Loan,1974752,12,20.37,183280,Good,0,0.5,26,75,13,2581149,1634837,0.63,2,1,0,0,0,245,5,399750,0,35,0,0,2268040.14055273,0.87,0,0,,2022-03-02,Active,416343,Monthly,74658,49433,3457,0.733,4,65,8,0.8825,1,0,0,Current,Current,2,41,Vehicle,,9.0,Tier-3,Yes,3,6,47,2021112,59
102,LOAN00102,37,1792591,13,Married,Graduate,5,634455,Auto Loan,1145383,72,20.13,27521,Average,1,0.1,43,65,14,1238100,931102,0.75,0,1,0,0,0,183,3,183766,1,107,0,0,1294912.730001596,0.88,0,0,,2020-02-26,Active,203190,Monthly,247693,127704,44572,0.4466,4,3,4,0.9511,1,0,0,Current,Current,0,52,Vehicle,,7.0,Tier-3,Yes,0,4,37,891536,32
628,LOAN00628,27,221079,15,Married,High School,19,179401,Home Loan,266164,36,14.92,9216,Poor,3,0.74,88,14,0,2986330,1700603,0.57,9,4,1,1,3,77,8,34242,3,87,90,3,268493.1622412251,0.99,1,1,2022-05-27,2020-11-05,Default,31077,Monthly,175827,145782,39974,0.5361,22,35,1,0.1158,11,60,90,90+ DPD,90+ DPD,2,23,Property,Commercial,,Tier-2,Yes,4,10,3,1842431,31
337,LOAN00337,45,544135,29,Married,Graduate,0,166176,Home Loan,1697095,72,9.12,30692,Poor,5,0.73,84,20,8,514263,322893,0.63,7,2,3,2,2,223,11,51925,4,127,120,5,1929826.266625339,0.88,1,1,2023-12-29,2020-11-21,Default,48099,Monthly,90985,75708,95058,0.7254,17,24,1,0.2396,7,120,120,90+ DPD,90+ DPD,4,24,Property,Residential,,Tier-1,Yes,1,10,14,392376,23
414,LOAN00414,63,570405,27,Single,Postgraduate,24,438367,Business Loan,787170,36,8.89,24991,Average,1,0.54,60,57,7,985921,155928,0.16,2,0,0,0,0,174,5,195067,0,115,0,0,983123.6337295212,0.8,0,0,,2020-10-15,Active,175609,Irregular,236889,193622,99230,0.7205,1,43,4,0.9185,0,0,0,Current,Current,0,40,Property,Residential,,Tier-3,No,5,5,35,917466,33
775,LOAN00775,30,458764,9,Married,Graduate,20,42944,Education Loan,1820539,12,10.17,160198,Poor,5,0.86,91,21,1,400784,132489,0.33,8,1,1,1,3,55,4,11195,3,29,90,7,,,1,1,2022-08-03,2021-11-29,Default,11525,Monthly,157669,85761,21222,0.6573,20,67,5,0.182,9,60,60,90+ DPD,90+ DPD,2,52,,,,,,1,10,9,480242,59
817,LOAN00817,40,522625,0,Married,High School,16,716245,Auto Loan,1145071,72,16.01,24845,Good,0,0.45,68,81,14,82374,65133,0.79,1,0,0,0,0,65,4,227015,0,156,0,0,1223651.604357113,0.94,0,0,,2021-03-02,Active,198930,Irregular,73872,61255,74133,0.4407,0,63,1,0.9388,1,0,0,Current,Current,4,15,Vehicle,,2.0,Tier-1,Yes,3,5,37,90032,17
539,LOAN00539,53,1391835,13,Married,Graduate,10,258546,Home Loan,334661,48,9.27,8371,Good,0,0.14,12,72,6,1861194,658338,0.35,2,1,0,0,0,120,2,197256,1,117,0,0,423728.3052308789,0.79,0,0,,2022-05-08,Active,220890,Monthly,246239,146252,60668,0.7543,4,67,7,0.984,1,0,0,Current,Current,4,10,Property,Commercial,,Tier-1,No,3,5,17,952261,17
697,LOAN00697,61,716880,6,Single,Graduate,8,610266,Business Loan,126310,36,14.83,4368,Good,0,0.45,26,93,2,2702197,1657166,0.61,2,0,0,0,0,65,0,265577,1,41,0,0,157871.3159235721,0.8,0,0,,2021-04-15,Active,311901,Monthly,111643,103062,62643,0.7815,2,53,6,0.8414,0,0,0,Current,Current,2,33,Property,Residential,,Tier-3,Yes,4,3,48,1781712,55
429,LOAN00429,62,208500,9,Divorced,Postgraduate,22,56242,Personal Loan,1387987,12,9.08,121433,Poor,4,0.66,55,6,6,936144,277469,0.3,8,1,2,1,3,244,11,68241,4,112,120,6,,,1,1,2023-06-19,2022-01-20,Default,65889,Irregular,127651,75862,66215,0.3963,28,1,2,0.3932,4,120,120,90+ DPD,61-90 DPD,2,56,,,,,,4,8,6,783746,45
109,LOAN00109,57,679408,22,Divorced,Graduate,15,114772,Education Loan,403739,12,12.97,36055,Poor,6,0.98,12,17,1,2011089,388504,0.19,9,2,3,1,2,107,11,71879,6,32,90,6,,,1,1,2022-02-26,2020-06-27,Default,62705,Monthly,224148,202167,6359,0.2191,9,47,4,0.3888,7,90,90,90+ DPD,90+ DPD,3,48,,,,,,3,9,18,2358521,12
433,LOAN00433,56,578440,28,Married,Postgraduate,1,772342,Home Loan,1321487,12,10.19,116296,Average,0,0.51,36,80,4,1604803,1437605,0.9,3,1,0,0,0,178,5,540401,1,173,0,0,1934262.347493685,0.68,0,0,,2021-09-25,Active,497620,Monthly,204662,181781,60966,0.4014,1,57,4,0.8049,1,0,0,Current,Current,2,9,Property,Commercial,,Tier-3,Yes,7,5,58,979597,33
32,LOAN00032,52,318439,9,Single,High School,7,311389,Home Loan,1869439,12,16.61,170155,Good,0,0.21,75,75,6,2437194,658134,0.27,3,1,0,0,0,211,5,231845,1,40,0,0,2301956.143632827,0.81,0,0,,2021-12-04,Active,198607,Irregular,83981,76256,46998,0.7512,2,58,8,0.8151,0,0,0,Current,Current,3,8,Property,Residential,,Tier-1,Yes,6,7,23,2069279,47
791,LOAN00791,29,1359025,8,Married,Postgraduate,24,693701,Personal Loan,826995,12,20.62,76853,Average,0,0.15,31,91,10,1204766,379509,0.32,3,1,0,0,0,16,1,511264,0,85,0,0,,,0,0,,2021-04-04,Active,612544,Monthly,135164,83030,55131,0.6162,4,73,0,0.8579,0,0,0,Current,Current,0,28,,,,,,8,6,29,1203339,10
441,LOAN00441,42,2212596,29,Married,Graduate,12,292457,Home Loan,844628,36,12.72,28345,Good,0,0.51,74,88,8,2617374,1204707,0.46,3,1,0,0,0,65,0,180060,1,46,0,0,1004566.049333406,0.84,0,0,,2021-03-08,Active,158497,Monthly,65397,33664,61307,0.5406,4,46,3,0.909,0,0,0,Current,Current,4,30,Property,Commercial,,Tier-3,No,6,4,19,1998617,55
501,LOAN00501,38,1904889,23,Divorced,High School,2,288707,Personal Loan,400393,60,16.04,9745,Average,0,0.47,92,56,11,1143099,791424,0.69,1,0,0,0,0,210,5,371203,0,28,0,0,,,0,0,,2021-07-22,Active,395626,Irregular,219915,145210,97348,0.2451,1,71,5,0.8191,0,0,0,Current,Current,2,24,,,,,,1,2,13,1039910,27
145,LOAN00145,25,372181,28,Married,High School,7,471420,Education Loan,619345,12,8.45,54004,Good,1,0.44,46,67,2,2455433,2092509,0.85,2,0,0,0,0,166,2,164002,1,146,0,0,,,0,0,,2020-02-29,Active,195544,Monthly,233324,161417,59979,0.6514,0,9,4,0.9525,1,0,0,Current,Current,3,23,,,,,,3,3,29,2460761,30
265,LOAN00265,26,2428704,25,Single,High School,9,609151,Auto Loan,1786651,48,9.99,45305,Average,1,0.1,46,69,6,2025254,908306,0.45,2,0,0,0,0,43,3,655242,1,104,0,0,2611327.141173339,0.68,0,0,,2020-08-03,Active,739833,Monthly,232189,187350,66474,0.1161,1,2,9,0.9533,0,0,0,Current,Current,2,51,Vehicle,,4.0,Tier-1,Yes,3,2,19,2262655,10
919,LOAN00919,30,1471313,2,Married,High School,19,758126,Business Loan,102450,60,11.83,2270,Good,1,0.11,57,90,1,105873,68925,0.65,2,1,0,0,0,207,3,167230,1,44,0,0,110355.8565081982,0.93,0,0,,2020-05-14,Active,173757,Monthly,226807,133234,73789,0.1968,1,42,1,0.861,0,0,0,Current,Current,0,18,Property,Residential,,Tier-1,Yes,4,5,41,87573,59
551,LOAN00551,35,878005,29,Single,Graduate,3,696208,Auto Loan,1191305,72,16.68,26289,Average,0,0.37,43,67,8,622852,273095,0.44,1,0,0,0,0,285,3,208459,1,80,0,0,1655555.374224984,0.72,0,0,,2021-06-18,Active,230765,Monthly,48426,38143,13048,0.4028,3,38,5,0.899,1,0,0,Current,Current,4,6,Vehicle,,6.0,Tier-3,Yes,3,3,49,379954,37
777,LOAN00777,43,1761558,2,Single,High School,5,642916,Business Loan,1170592,36,17.93,42278,Good,0,0.19,61,74,9,2606843,2301586,0.88,3,0,0,0,0,132,1,339236,1,89,0,0,1582045.121473362,0.74,0,0,,2022-02-03,Active,364937,Monthly,35754,27247,94392,0.4691,4,64,6,0.8229,0,0,0,Current,Current,4,43,Property,Commercial,,Tier-1,Yes,9,3,41,1589206,7
183,LOAN00183,36,2270110,21,Married,Graduate,15,240424,Personal Loan,145015,36,13.17,4898,Good,0,0.12,13,94,11,578498,321071,0.56,3,1,0,0,0,148,1,40230,1,196,0,0,,,0,0,,2020-05-05,Active,47990,Bi-Monthly,86003,57084,54806,0.2691,4,53,5,0.8968,1,0,0,Current,Current,1,32,,,,,,6,5,20,401234,8
103,LOAN00103,21,1943643,12,Single,Graduate,14,175258,Personal Loan,133107,36,21.59,5055,Good,0,0.27,35,67,8,2770549,568849,0.21,2,1,0,0,0,64,3,388746,1,150,0,0,,,0,0,,2020-10-26,Active,344806,Irregular,213412,146267,28522,0.7152,4,5,3,0.9197,0,0,0,Current,Current,4,29,,,,,,3,2,12,3311565,31
760,LOAN00760,52,361505,10,Married,Graduate,3,43278,Personal Loan,193388,84,9.71,3181,Poor,1,0.55,49,46,11,460978,222897,0.48,6,0,0,0,2,103,4,29188,4,99,30,0,,,1,0,,2021-07-25,NPA,24387,Monthly,94071,62929,41847,0.1608,29,34,8,0.6013,2,30,30,31-60 DPD,Current,3,53,,,,,,3,10,22,250301,42
877,LOAN00877,41,2065950,16,Married,High School,3,69471,Auto Loan,203632,12,19.93,18856,Good,0,0.49,62,66,4,1063195,631832,0.59,0,0,0,0,0,211,3,416174,1,160,0,0,297774.0496544919,0.68,0,0,,2020-10-17,Active,413872,Irregular,245548,169353,90233,0.3279,3,16,5,0.9091,0,0,0,Current,Current,4,40,Vehicle,,9.0,Tier-1,Yes,2,2,45,622920,45
780,LOAN00780,59,1777394,19,Married,Postgraduate,19,165561,Personal Loan,1761408,36,18.96,64530,Good,1,0.18,34,69,9,1669802,1325954,0.79,3,0,0,0,0,110,1,600565,1,92,0,0,,,0,0,,2021-04-23,Active,495430,Monthly,100189,64350,53038,0.181,2,27,6,0.8912,0,0,0,Current,Current,3,40,,,,,,6,5,38,1503659,15
432,LOAN00432,61,366334,17,Married,Graduate,6,473119,Business Loan,1630735,24,12.85,77413,Good,1,0.41,97,91,7,98863,16335,0.17,0,1,0,0,0,287,2,308033,0,52,0,0,2425147.674679397,0.67,0,0,,2020-09-01,Active,367500,Bi-Monthly,161805,110340,44188,0.1576,1,25,3,0.8913,0,0,0,Current,Current,1,19,Property,Commercial,,Tier-1,No,6,2,46,67778,9
812,LOAN00812,25,301205,5,Single,Postgraduate,15,162847,Auto Loan,162043,24,8.19,7342,Poor,5,0.61,21,34,1,250945,126972,0.51,2,4,1,1,3,101,4,62965,9,58,120,3,225123.2718012428,0.72,1,1,2023-08-08,2021-02-02,Default,61871,Irregular,51310,48094,33388,0.6762,10,65,6,0.112,11,120,120,90+ DPD,61-90 DPD,1,43,Vehicle,,2.0,Tier-1,Yes,8,5,7,181751,33
663,LOAN00663,39,2164866,4,Divorced,Graduate,5,407419,Personal Loan,219493,36,16.66,7788,Good,1,0.36,12,95,6,1050034,617424,0.59,1,0,0,0,0,277,4,326750,1,158,0,0,,,0,0,,2021-10-30,Active,308699,Monthly,114820,68640,605,0.1351,2,78,9,0.9068,1,0,0,Current,Current,2,8,,,,,,1,4,35,852441,37
527,LOAN00527,46,1146303,20,Married,Postgraduate,8,44251,Personal Loan,742362,36,9.18,23669,Average,0,0.33,39,63,7,2714447,1881989,0.69,0,1,0,0,0,165,5,175672,1,73,0,0,,,0,0,,2022-02-08,Active,146200,Monthly,67982,60745,85640,0.6716,3,58,4,0.8338,0,0,0,Current,Current,0,4,,,,,,5,4,26,3197300,16
490,LOAN00490,63,1634296,24,Single,Graduate,23,372593,Home Loan,372233,48,18.87,11104,Average,0,0.45,91,87,12,1016572,568991,0.56,0,1,0,0,0,95,3,272771,0,44,0,0,403237.4126417685,0.92,0,0,,2020-12-18,Active,221837,Monthly,41780,28680,7636,0.3275,4,6,5,0.9266,0,0,0,Current,Current,4,50,Property,Commercial,,Tier-2,No,4,1,47,955499,29
589,LOAN00589,45,933731,7,Married,High School,14,296739,Personal Loan,744577,12,14.65,67081,Good,1,0.43,17,81,7,412241,163637,0.4,2,1,0,0,0,299,2,344738,0,152,0,0,,,0,0,,2021-12-01,Active,300654,Irregular,217684,191731,54124,0.5964,2,68,7,0.948,0,0,0,Current,Current,2,25,,,,,,5,4,42,228941,44
612,LOAN00612,23,927079,8,Divorced,Postgraduate,7,520454,Business Loan,147366,84,20.87,3350,Average,1,0.17,35,84,2,496266,401890,0.81,0,0,0,0,0,171,5,112108,0,126,0,0,211990.8632677289,0.7,0,0,,2022-04-04,Active,100914,Bi-Monthly,105660,100323,82026,0.542,4,9,2,0.8997,1,0,0,Current,Current,4,40,Property,Residential,,Tier-3,Yes,4,3,14,299258,58
593,LOAN00593,47,446076,17,Married,Graduate,1,418313,Auto Loan,251556,48,14.79,6974,Average,0,0.07,39,67,5,1360607,400009,0.29,2,1,0,0,0,282,3,613193,0,23,0,0,300464.2335646352,0.84,0,0,,2020-06-15,Active,686379,Monthly,172038,127005,1787,0.5755,0,4,9,0.8753,0,0,0,Current,Current,1,14,Vehicle,,6.0,Tier-3,Yes,2,4,54,1422629,14
218,LOAN00218,24,2453478,16,Married,Postgraduate,7,611778,Personal Loan,1130111,48,18.59,33546,Good,1,0.3,88,75,0,595814,268464,0.45,3,0,0,0,0,153,1,470008,1,104,0,0,,,0,0,,2022-01-15,Active,422961,Bi-Monthly,68914,38079,26117,0.2989,2,43,7,0.9272,0,0,0,Current,Current,0,25,,,,,,4,5,20,543450,14
587,LOAN00587,42,1901337,13,Married,Graduate,21,544034,Personal Loan,1473373,84,16.64,29803,Average,0,0.08,48,65,11,1279864,852184,0.67,0,1,0,0,0,165,5,521069,1,30,0,0,,,0,0,,2021-10-01,Active,416884,Monthly,184353,137728,7736,0.7097,0,25,4,0.8526,0,0,0,Current,Current,2,20,,,,,,1,4,27,687018,27
192,LOAN00192,38,449746,24,Married,Postgraduate,8,519577,Personal Loan,277476,48,16.56,7943,Good,1,0.3,22,92,9,1120199,864964,0.77,1,1,0,0,0,156,4,689105,1,81,0,0,,,0,0,,2021-03-03,Active,695968,Bi-Monthly,155090,112727,56565,0.2397,4,35,9,0.9408,0,0,0,Current,Current,1,56,,,,,,2,2,40,1197668,20
590,LOAN00590,49,778421,22,Married,High School,21,135155,Home Loan,585678,36,17.49,21024,Poor,4,0.93,63,18,14,247540,161458,0.65,4,4,2,2,3,262,3,82224,7,190,90,2,637737.4177067291,0.92,1,1,2024-01-12,2022-01-17,Default,75104,Bi-Monthly,243198,132796,2311,0.6669,13,44,7,0.3781,7,60,60,90+ DPD,90+ DPD,4,56,Property,Commercial,,Tier-1,Yes,4,6,12,213811,20
23,LOAN00023,62,2379916,18,Married,Graduate,4,524126,Home Loan,959765,24,10.32,44430,Good,0,0.17,15,99,1,1262019,1068838,0.85,3,1,0,0,0,88,3,164593,1,135,0,0,1017263.078283903,0.94,0,0,,2021-05-10,Active,172871,Monthly,180606,164653,31092,0.337,2,45,6,0.9179,0,0,0,Current,Current,2,15,Property,Residential,,Tier-2,Yes,7,7,33,662607,27
373,LOAN00373,25,2227787,13,Married,Graduate,15,105975,Home Loan,1956312,72,15.73,42145,Good,1,0.24,81,58,14,64262,53407,0.83,2,1,0,0,0,234,0,447930,0,171,0,0,2897250.637383428,0.68,0,0,,2021-09-14,Active,419501,Monthly,30148,22889,55582,0.3009,4,54,3,0.8784,0,0,0,Current,Current,4,16,Property,Commercial,,Tier-2,No,6,4,31,45636,16
153,LOAN00153,45,1147369,12,Divorced,High School,1,297814,Home Loan,1828605,84,12.91,33176,Good,1,0.34,59,97,10,1027985,350630,0.34,0,0,0,0,0,247,1,146428,1,73,0,0,2217689.768388825,0.82,0,0,,2021-11-23,Active,140458,Monthly,156222,104522,3834,0.4084,4,12,3,0.9368,1,0,0,Current,Current,0,22,Property,Residential,,Tier-1,Yes,5,4,21,1069536,49
468,LOAN00468,56,1849993,6,Single,High School,4,105502,Education Loan,657152,72,8.69,11744,Good,1,0.48,64,94,2,2125381,476097,0.22,2,1,0,0,0,190,2,517216,1,168,0,0,,,0,0,,2021-10-03,Active,531616,Bi-Monthly,230301,174241,1021,0.4653,2,68,0,0.8858,1,0,0,Current,Current,1,5,,,,,,5,5,32,2246032,42
516,LOAN00516,25,1532411,17,Married,Graduate,14,346819,Home Loan,266852,72,8.02,4681,Good,0,0.37,16,73,14,789599,452681,0.57,0,0,0,0,0,188,2,426138,0,52,0,0,314621.7539843029,0.85,0,0,,2020-04-10,Active,478918,Bi-Monthly,25835,19701,45037,0.5841,2,17,2,0.9996,0,0,0,Current,Current,3,33,Property,Residential,,Tier-3,No,2,0,56,587340,36
728,LOAN00728,36,369139,4,Single,High School,14,86566,Personal Loan,900413,24,12.77,42710,Poor,4,0.99,60,18,0,200036,67088,0.34,3,3,1,2,2,191,7,51793,4,35,120,2,,,1,1,2022-01-11,2021-03-23,Default,56071,Bi-Monthly,128910,82321,9848,0.2175,22,10,9,0.1235,5,120,120,90+ DPD,90+ DPD,0,46,,,,,,1,3,23,130387,14
341,LOAN00341,23,992378,16,Single,High School,3,653334,Auto Loan,953968,24,18.31,47769,Good,1,0.55,70,74,5,521608,178764,0.34,0,0,0,0,0,183,2,673769,0,153,0,0,1259118.085908219,0.76,0,0,,2021-11-21,Active,620028,Monthly,20579,18587,12332,0.5606,1,10,4,0.8331,0,0,0,Current,Current,3,25,Vehicle,,1.0,Tier-2,No,2,2,57,390903,45
573,LOAN00573,58,1817476,19,Married,Graduate,19,554250,Business Loan,408420,84,21.84,9527,Average,0,0.12,76,92,12,2187044,1656827,0.76,2,0,0,0,0,50,2,654843,0,162,0,0,557687.0779294664,0.73,0,0,,2020-06-24,Active,706957,Monthly,246219,219388,72712,0.525,3,40,6,0.9542,0,0,0,Current,Current,1,31,Property,Commercial,,Tier-1,No,4,6,29,2187075,31
651,LOAN00651,63,1103103,3,Divorced,Postgraduate,16,515827,Home Loan,530226,48,19.19,15907,Average,0,0.1,96,73,1,280613,71286,0.25,2,0,0,0,0,135,1,136053,0,116,0,0,626803.414486944,0.85,0,0,,2020-05-27,Active,148861,Irregular,28986,27302,34251,0.6441,3,35,2,0.8984,0,0,0,Current,Current,3,21,Property,Commercial,,Tier-1,Yes,0,4,48,263493,29
106,LOAN00106,40,952674,15,Single,High School,16,373564,Personal Loan,1996961,72,17.4,44871,Good,1,0.11,83,56,4,752262,613854,0.82,3,1,0,0,0,12,3,562787,0,56,0,0,,,0,0,,2022-03-23,Active,485885,Irregular,201480,181875,31951,0.532,2,58,2,0.8387,0,0,0,Current,Current,2,49,,,,,,5,5,47,655554,39
179,LOAN00179,23,1982464,24,Married,Graduate,5,620437,Business Loan,1608377,60,17.2,40145,Good,1,0.52,48,81,14,1768532,1235149,0.7,0,0,0,0,0,162,1,204617,1,132,0,0,2138331.873770657,0.75,0,0,,2021-05-27,Active,227072,Monthly,216987,184830,83983,0.6718,0,52,8,0.831,0,0,0,Current,Current,0,15,Property,Commercial,,Tier-3,Yes,4,0,38,2079618,24
646,LOAN00646,29,1831703,0,Married,Graduate,20,232933,Business Loan,706981,84,21.08,16162,Good,1,0.43,84,97,9,2119401,686576,0.32,1,0,0,0,0,177,1,193694,1,184,0,0,827978.86895343,0.85,0,0,,2020-11-18,Active,188680,Monthly,171898,106281,22598,0.3332,3,73,3,0.872,0,0,0,Current,Current,0,21,Property,Residential,,Tier-2,No,3,4,39,2396572,18
191,LOAN00191,39,978611,8,Divorced,Postgraduate,8,491763,Auto Loan,1293638,72,17.14,28879,Good,0,0.36,86,86,2,1844288,1235336,0.67,3,1,0,0,0,244,3,72145,0,174,0,0,1525337.446739209,0.85,0,0,,2021-06-23,Active,79150,Irregular,103568,76667,75304,0.1943,0,5,7,0.8569,0,0,0,Current,Current,0,46,Vehicle,,2.0,Tier-2,Yes,7,7,12,1563961,4
